"","site_no","Date","agency_cd","PRCP","SNOW","SNWD"
"56","US1CASB0001",2009-10-26,"NOAA",NA,NA,NA
"57","US1CASB0001",2009-10-27,"NOAA",0,0,NA
"58","US1CASB0001",2009-10-28,"NOAA",0,0,NA
"59","US1CASB0001",2009-10-29,"NOAA",0,0,NA
"60","US1CASB0001",2009-10-30,"NOAA",0,0,NA
"61","US1CASB0001",2009-10-31,"NOAA",0,0,NA
"62","US1CASB0001",2009-11-01,"NOAA",NA,NA,NA
"63","US1CASB0001",2009-11-02,"NOAA",0,0,NA
"64","US1CASB0001",2009-11-03,"NOAA",0,0,NA
"65","US1CASB0001",2009-11-04,"NOAA",0,0,NA
"66","US1CASB0001",2009-11-05,"NOAA",0,0,NA
"67","US1CASB0001",2009-11-06,"NOAA",0,0,NA
"68","US1CASB0001",2009-11-07,"NOAA",0,0,NA
"69","US1CASB0001",2009-11-08,"NOAA",0,0,NA
"70","US1CASB0001",2009-11-09,"NOAA",0,0,NA
"71","US1CASB0001",2009-11-10,"NOAA",0,0,NA
"72","US1CASB0001",2009-11-11,"NOAA",0,0,NA
"73","US1CASB0001",2009-11-12,"NOAA",0,0,NA
"74","US1CASB0001",2009-11-13,"NOAA",0,0,NA
"75","US1CASB0001",2009-11-14,"NOAA",0,0,NA
"76","US1CASB0001",2009-11-15,"NOAA",0,0,NA
"77","US1CASB0001",2009-11-16,"NOAA",NA,NA,NA
"78","US1CASB0001",2009-11-17,"NOAA",0,0,NA
"79","US1CASB0001",2009-11-18,"NOAA",0,0,NA
"80","US1CASB0001",2009-11-19,"NOAA",0,0,NA
"81","US1CASB0001",2009-11-20,"NOAA",0,0,NA
"82","US1CASB0001",2009-11-21,"NOAA",NA,NA,NA
"83","US1CASB0001",2009-11-22,"NOAA",0,0,NA
"84","US1CASB0001",2009-11-23,"NOAA",0,0,NA
"85","US1CASB0001",2009-11-24,"NOAA",0,0,NA
"86","US1CASB0001",2009-11-25,"NOAA",0,0,NA
"87","US1CASB0001",2009-11-26,"NOAA",0,0,NA
"88","US1CASB0001",2009-11-27,"NOAA",0,0,NA
"89","US1CASB0001",2009-11-28,"NOAA",0,0,NA
"90","US1CASB0001",2009-11-29,"NOAA",0,0,NA
"91","US1CASB0001",2009-11-30,"NOAA",0,0,NA
"92","US1CASB0001",2009-12-01,"NOAA",0,0,NA
"93","US1CASB0001",2009-12-02,"NOAA",0,0,NA
"94","US1CASB0001",2009-12-03,"NOAA",0,0,NA
"95","US1CASB0001",2009-12-04,"NOAA",0,0,NA
"96","US1CASB0001",2009-12-05,"NOAA",0,0,NA
"97","US1CASB0001",2009-12-06,"NOAA",0,0,NA
"98","US1CASB0001",2009-12-07,"NOAA",97,NA,NA
"99","US1CASB0001",2009-12-08,"NOAA",251,NA,NA
"100","US1CASB0001",2009-12-09,"NOAA",0,0,NA
"101","US1CASB0001",2009-12-10,"NOAA",0,0,NA
"102","US1CASB0001",2009-12-11,"NOAA",119,NA,NA
"103","US1CASB0001",2009-12-12,"NOAA",97,NA,NA
"104","US1CASB0001",2009-12-13,"NOAA",241,NA,NA
"105","US1CASB0001",2009-12-14,"NOAA",0,0,NA
"106","US1CASB0001",2009-12-15,"NOAA",0,0,NA
"107","US1CASB0001",2009-12-16,"NOAA",0,0,NA
"108","US1CASB0001",2009-12-17,"NOAA",0,0,NA
"109","US1CASB0001",2009-12-18,"NOAA",0,0,NA
"110","US1CASB0001",2009-12-19,"NOAA",0,0,NA
"111","US1CASB0001",2009-12-20,"NOAA",0,0,NA
"112","US1CASB0001",2009-12-21,"NOAA",0,0,NA
"113","US1CASB0001",2009-12-22,"NOAA",38,NA,NA
"114","US1CASB0001",2009-12-23,"NOAA",0,0,NA
"115","US1CASB0001",2009-12-24,"NOAA",0,0,NA
"116","US1CASB0001",2009-12-25,"NOAA",0,0,NA
"117","US1CASB0001",2009-12-26,"NOAA",0,0,NA
"118","US1CASB0001",2009-12-27,"NOAA",0,0,NA
"119","US1CASB0001",2009-12-28,"NOAA",0,0,NA
"120","US1CASB0001",2009-12-29,"NOAA",0,0,NA
"121","US1CASB0001",2009-12-30,"NOAA",0,0,NA
"122","US1CASB0001",2009-12-31,"NOAA",30,NA,NA
"123","US1CASB0001",2010-01-01,"NOAA",0,0,NA
"124","US1CASB0001",2010-01-02,"NOAA",0,0,NA
"125","US1CASB0001",2010-01-03,"NOAA",0,0,NA
"126","US1CASB0001",2010-01-04,"NOAA",0,0,NA
"127","US1CASB0001",2010-01-05,"NOAA",0,0,NA
"128","US1CASB0001",2010-01-06,"NOAA",0,0,NA
"129","US1CASB0001",2010-01-07,"NOAA",0,0,NA
"130","US1CASB0001",2010-01-08,"NOAA",0,0,NA
"131","US1CASB0001",2010-01-09,"NOAA",0,0,NA
"132","US1CASB0001",2010-01-10,"NOAA",0,0,NA
"133","US1CASB0001",2010-01-11,"NOAA",0,0,NA
"134","US1CASB0001",2010-01-12,"NOAA",0,0,NA
"135","US1CASB0001",2010-01-13,"NOAA",94,NA,NA
"136","US1CASB0001",2010-01-14,"NOAA",0,0,NA
"137","US1CASB0001",2010-01-15,"NOAA",0,0,NA
"138","US1CASB0001",2010-01-16,"NOAA",0,0,NA
"139","US1CASB0001",2010-01-17,"NOAA",0,0,NA
"140","US1CASB0001",2010-01-18,"NOAA",282,NA,NA
"141","US1CASB0001",2010-01-19,"NOAA",249,NA,NA
"142","US1CASB0001",2010-01-20,"NOAA",135,NA,NA
"143","US1CASB0001",2010-01-21,"NOAA",368,NA,NA
"144","US1CASB0001",2010-01-22,"NOAA",488,NA,NA
"145","US1CASB0001",2010-01-23,"NOAA",119,NA,NA
"146","US1CASB0001",2010-01-24,"NOAA",0,0,NA
"147","US1CASB0001",2010-01-25,"NOAA",25,NA,NA
"148","US1CASB0001",2010-01-26,"NOAA",0,0,NA
"149","US1CASB0001",2010-01-27,"NOAA",91,NA,NA
"150","US1CASB0001",2010-01-28,"NOAA",0,0,NA
"151","US1CASB0001",2010-01-29,"NOAA",0,0,NA
"152","US1CASB0001",2010-01-30,"NOAA",5,NA,NA
"153","US1CASB0001",2010-01-31,"NOAA",0,0,NA
"154","US1CASB0001",2010-02-01,"NOAA",0,0,NA
"155","US1CASB0001",2010-02-02,"NOAA",0,0,NA
"156","US1CASB0001",2010-02-03,"NOAA",0,0,NA
"157","US1CASB0001",2010-02-04,"NOAA",0,0,NA
"158","US1CASB0001",2010-02-05,"NOAA",137,NA,NA
"159","US1CASB0001",2010-02-06,"NOAA",325,NA,NA
"160","US1CASB0001",2010-02-07,"NOAA",109,NA,NA
"161","US1CASB0001",2010-02-08,"NOAA",0,0,NA
"162","US1CASB0001",2010-02-09,"NOAA",0,0,NA
"163","US1CASB0001",2010-02-10,"NOAA",109,NA,NA
"164","US1CASB0001",2010-02-11,"NOAA",0,0,NA
"165","US1CASB0001",2010-02-12,"NOAA",0,0,NA
"166","US1CASB0001",2010-02-13,"NOAA",0,0,NA
"167","US1CASB0001",2010-02-14,"NOAA",0,0,NA
"168","US1CASB0001",2010-02-15,"NOAA",0,0,NA
"169","US1CASB0001",2010-02-16,"NOAA",0,0,NA
"170","US1CASB0001",2010-02-17,"NOAA",0,0,NA
"171","US1CASB0001",2010-02-18,"NOAA",0,0,NA
"172","US1CASB0001",2010-02-19,"NOAA",0,0,NA
"173","US1CASB0001",2010-02-20,"NOAA",53,NA,NA
"174","US1CASB0001",2010-02-21,"NOAA",0,0,NA
"175","US1CASB0001",2010-02-22,"NOAA",13,NA,NA
"176","US1CASB0001",2010-02-23,"NOAA",0,0,NA
"177","US1CASB0001",2010-02-24,"NOAA",0,0,NA
"178","US1CASB0001",2010-02-25,"NOAA",99,NA,NA
"179","US1CASB0001",2010-02-26,"NOAA",5,NA,NA
"180","US1CASB0001",2010-02-27,"NOAA",300,NA,NA
"181","US1CASB0001",2010-02-28,"NOAA",91,NA,NA
"182","US1CASB0001",2010-03-01,"NOAA",0,0,NA
"183","US1CASB0001",2010-03-02,"NOAA",0,0,NA
"184","US1CASB0001",2010-03-03,"NOAA",5,NA,NA
"185","US1CASB0001",2010-03-04,"NOAA",71,NA,NA
"186","US1CASB0001",2010-03-05,"NOAA",3,NA,NA
"187","US1CASB0001",2010-03-06,"NOAA",0,0,NA
"188","US1CASB0001",2010-03-07,"NOAA",102,NA,NA
"189","US1CASB0001",2010-03-08,"NOAA",0,0,NA
"190","US1CASB0001",2010-03-09,"NOAA",0,0,NA
"191","US1CASB0001",2010-03-10,"NOAA",0,0,NA
"192","US1CASB0001",2010-03-11,"NOAA",0,0,NA
"193","US1CASB0001",2010-03-12,"NOAA",0,0,NA
"194","US1CASB0001",2010-03-13,"NOAA",NA,NA,NA
"195","US1CASB0001",2010-03-14,"NOAA",0,0,NA
"196","US1CASB0001",2010-03-15,"NOAA",0,0,NA
"197","US1CASB0001",2010-03-16,"NOAA",0,0,NA
"198","US1CASB0001",2010-03-17,"NOAA",0,0,NA
"199","US1CASB0001",2010-03-18,"NOAA",0,0,NA
"200","US1CASB0001",2010-03-19,"NOAA",0,0,NA
"201","US1CASB0001",2010-03-20,"NOAA",0,0,NA
"202","US1CASB0001",2010-03-21,"NOAA",0,0,NA
"203","US1CASB0001",2010-03-22,"NOAA",0,0,NA
"204","US1CASB0001",2010-03-23,"NOAA",0,0,NA
"205","US1CASB0001",2010-03-24,"NOAA",0,0,NA
"206","US1CASB0001",2010-03-25,"NOAA",0,0,NA
"207","US1CASB0001",2010-03-26,"NOAA",0,0,NA
"208","US1CASB0001",2010-03-27,"NOAA",0,0,NA
"209","US1CASB0001",2010-03-28,"NOAA",0,0,NA
"210","US1CASB0001",2010-03-29,"NOAA",0,0,NA
"211","US1CASB0001",2010-03-30,"NOAA",0,0,NA
"212","US1CASB0001",2010-03-31,"NOAA",0,0,NA
"213","US1CASB0001",2010-04-01,"NOAA",28,NA,NA
"214","US1CASB0001",2010-04-02,"NOAA",3,NA,NA
"215","US1CASB0001",2010-04-03,"NOAA",0,0,NA
"216","US1CASB0001",2010-04-04,"NOAA",0,0,NA
"217","US1CASB0001",2010-04-05,"NOAA",127,NA,NA
"218","US1CASB0001",2010-04-06,"NOAA",8,NA,NA
"219","US1CASB0001",2010-04-07,"NOAA",0,0,NA
"220","US1CASB0001",2010-04-08,"NOAA",0,0,NA
"221","US1CASB0001",2010-04-09,"NOAA",0,0,NA
"222","US1CASB0001",2010-04-10,"NOAA",0,0,NA
"223","US1CASB0001",2010-04-11,"NOAA",0,0,NA
"224","US1CASB0001",2010-04-12,"NOAA",378,NA,NA
"225","US1CASB0001",2010-04-13,"NOAA",8,NA,NA
"226","US1CASB0001",2010-04-14,"NOAA",0,0,NA
"227","US1CASB0001",2010-04-15,"NOAA",0,0,NA
"228","US1CASB0001",2010-04-16,"NOAA",0,0,NA
"229","US1CASB0001",2010-04-17,"NOAA",0,0,NA
"230","US1CASB0001",2010-04-18,"NOAA",0,0,NA
"231","US1CASB0001",2010-04-19,"NOAA",0,0,NA
"232","US1CASB0001",2010-04-20,"NOAA",0,0,NA
"233","US1CASB0001",2010-04-21,"NOAA",185,NA,NA
"234","US1CASB0001",2010-04-22,"NOAA",15,NA,NA
"235","US1CASB0001",2010-04-23,"NOAA",0,0,NA
"236","US1CASB0001",2010-04-24,"NOAA",3,NA,NA
"237","US1CASB0001",2010-04-25,"NOAA",0,0,NA
"238","US1CASB0001",2010-04-26,"NOAA",0,0,NA
"239","US1CASB0001",2010-04-27,"NOAA",0,0,NA
"240","US1CASB0001",2010-04-28,"NOAA",5,NA,NA
"241","US1CASB0001",2010-04-29,"NOAA",0,0,NA
"242","US1CASB0001",2010-04-30,"NOAA",0,0,NA
"243","US1CASB0001",2010-05-01,"NOAA",0,0,NA
"244","US1CASB0001",2010-05-02,"NOAA",0,0,NA
"245","US1CASB0001",2010-05-03,"NOAA",0,0,NA
"246","US1CASB0001",2010-05-04,"NOAA",0,0,NA
"247","US1CASB0001",2010-05-05,"NOAA",0,0,NA
"248","US1CASB0001",2010-05-06,"NOAA",0,0,NA
"249","US1CASB0001",2010-05-07,"NOAA",0,0,NA
"250","US1CASB0001",2010-05-08,"NOAA",0,0,NA
"251","US1CASB0001",2010-05-09,"NOAA",0,0,NA
"252","US1CASB0001",2010-05-10,"NOAA",0,0,NA
"253","US1CASB0001",2010-05-11,"NOAA",0,0,NA
"254","US1CASB0001",2010-05-12,"NOAA",0,0,NA
"255","US1CASB0001",2010-05-13,"NOAA",0,0,NA
"256","US1CASB0001",2010-05-14,"NOAA",0,0,NA
"257","US1CASB0001",2010-05-15,"NOAA",0,0,NA
"258","US1CASB0001",2010-05-16,"NOAA",0,0,NA
"259","US1CASB0001",2010-05-17,"NOAA",3,NA,NA
"260","US1CASB0001",2010-05-18,"NOAA",38,NA,NA
"261","US1CASB0001",2010-05-19,"NOAA",15,NA,NA
"262","US1CASB0001",2010-05-20,"NOAA",3,NA,NA
"263","US1CASB0001",2010-05-21,"NOAA",0,0,NA
"264","US1CASB0001",2010-05-22,"NOAA",0,0,NA
"265","US1CASB0001",2010-05-23,"NOAA",0,0,NA
"266","US1CASB0001",2010-05-24,"NOAA",0,0,NA
"267","US1CASB0001",2010-05-25,"NOAA",0,0,NA
"268","US1CASB0001",2010-05-26,"NOAA",0,0,NA
"269","US1CASB0001",2010-05-27,"NOAA",0,0,NA
"270","US1CASB0001",2010-05-28,"NOAA",0,0,NA
"271","US1CASB0001",2010-05-29,"NOAA",0,0,NA
"272","US1CASB0001",2010-05-30,"NOAA",0,0,NA
"273","US1CASB0001",2010-05-31,"NOAA",0,0,NA
"274","US1CASB0001",2010-06-01,"NOAA",0,0,NA
"275","US1CASB0001",2010-06-02,"NOAA",0,0,NA
"276","US1CASB0001",2010-06-03,"NOAA",0,0,NA
"277","US1CASB0001",2010-06-04,"NOAA",0,0,NA
"278","US1CASB0001",2010-06-05,"NOAA",0,0,NA
"279","US1CASB0001",2010-06-06,"NOAA",0,0,NA
"280","US1CASB0001",2010-06-07,"NOAA",0,0,NA
"281","US1CASB0001",2010-06-08,"NOAA",0,0,NA
"282","US1CASB0001",2010-06-09,"NOAA",0,0,NA
"283","US1CASB0001",2010-06-10,"NOAA",0,0,NA
"284","US1CASB0001",2010-06-11,"NOAA",0,0,NA
"285","US1CASB0001",2010-06-12,"NOAA",0,0,NA
"286","US1CASB0001",2010-06-13,"NOAA",NA,NA,NA
"287","US1CASB0001",2010-06-14,"NOAA",0,0,NA
"288","US1CASB0001",2010-06-15,"NOAA",0,0,NA
"289","US1CASB0001",2010-06-16,"NOAA",0,0,NA
"290","US1CASB0001",2010-06-17,"NOAA",0,0,NA
"291","US1CASB0001",2010-06-18,"NOAA",0,0,NA
"292","US1CASB0001",2010-06-19,"NOAA",0,0,NA
"293","US1CASB0001",2010-06-20,"NOAA",0,0,NA
"294","US1CASB0001",2010-06-21,"NOAA",0,0,NA
"295","US1CASB0001",2010-06-22,"NOAA",0,0,NA
"296","US1CASB0001",2010-06-23,"NOAA",0,0,NA
"297","US1CASB0001",2010-06-24,"NOAA",0,NA,NA
"298","US1CASB0001",2010-06-25,"NOAA",0,0,NA
"299","US1CASB0001",2010-06-26,"NOAA",0,0,NA
"300","US1CASB0001",2010-06-27,"NOAA",0,0,NA
"301","US1CASB0001",2010-06-28,"NOAA",0,0,NA
"302","US1CASB0001",2010-06-29,"NOAA",10,NA,NA
"303","US1CASB0001",2010-06-30,"NOAA",5,NA,NA
"304","US1CASB0001",2010-07-01,"NOAA",0,0,NA
"305","US1CASB0001",2010-07-02,"NOAA",0,0,NA
"306","US1CASB0001",2010-07-03,"NOAA",0,NA,NA
"307","US1CASB0001",2010-07-04,"NOAA",0,NA,NA
"308","US1CASB0001",2010-07-05,"NOAA",0,0,NA
"309","US1CASB0001",2010-07-06,"NOAA",0,NA,NA
"310","US1CASB0001",2010-07-07,"NOAA",10,NA,NA
"311","US1CASB0001",2010-07-08,"NOAA",0,0,NA
"312","US1CASB0001",2010-07-09,"NOAA",0,0,NA
"313","US1CASB0001",2010-07-10,"NOAA",0,0,NA
"314","US1CASB0001",2010-07-11,"NOAA",5,NA,NA
"315","US1CASB0001",2010-07-12,"NOAA",0,NA,NA
"316","US1CASB0001",2010-07-13,"NOAA",0,0,NA
"317","US1CASB0001",2010-07-14,"NOAA",0,0,NA
"318","US1CASB0001",2010-07-15,"NOAA",0,0,NA
"319","US1CASB0001",2010-07-16,"NOAA",0,0,NA
"320","US1CASB0001",2010-07-17,"NOAA",0,0,NA
"321","US1CASB0001",2010-07-18,"NOAA",0,0,NA
"322","US1CASB0001",2010-07-19,"NOAA",0,0,NA
"323","US1CASB0001",2010-07-20,"NOAA",0,0,NA
"324","US1CASB0001",2010-07-21,"NOAA",0,0,NA
"325","US1CASB0001",2010-07-22,"NOAA",0,0,NA
"326","US1CASB0001",2010-07-23,"NOAA",0,0,NA
"327","US1CASB0001",2010-07-24,"NOAA",0,0,NA
"328","US1CASB0001",2010-07-25,"NOAA",0,0,NA
"329","US1CASB0001",2010-07-26,"NOAA",0,0,NA
"330","US1CASB0001",2010-07-27,"NOAA",NA,NA,NA
"331","US1CASB0001",2010-07-28,"NOAA",0,0,NA
"332","US1CASB0001",2010-07-29,"NOAA",0,0,NA
"333","US1CASB0001",2010-07-30,"NOAA",0,0,NA
"334","US1CASB0001",2010-07-31,"NOAA",0,0,NA
"335","US1CASB0001",2010-08-01,"NOAA",0,0,NA
"336","US1CASB0001",2010-08-02,"NOAA",5,NA,NA
"337","US1CASB0001",2010-08-03,"NOAA",0,0,NA
"338","US1CASB0001",2010-08-04,"NOAA",0,0,NA
"339","US1CASB0001",2010-08-05,"NOAA",0,0,NA
"340","US1CASB0001",2010-08-06,"NOAA",0,0,NA
"341","US1CASB0001",2010-08-07,"NOAA",NA,NA,NA
"342","US1CASB0001",2010-08-08,"NOAA",0,0,NA
"343","US1CASB0001",2010-08-09,"NOAA",0,0,NA
"344","US1CASB0001",2010-08-10,"NOAA",0,0,NA
"345","US1CASB0001",2010-08-11,"NOAA",0,0,NA
"346","US1CASB0001",2010-08-12,"NOAA",0,0,NA
"347","US1CASB0001",2010-08-13,"NOAA",0,0,NA
"348","US1CASB0001",2010-08-14,"NOAA",0,0,NA
"349","US1CASB0001",2010-08-15,"NOAA",0,0,NA
"350","US1CASB0001",2010-08-16,"NOAA",NA,NA,NA
"351","US1CASB0001",2010-08-17,"NOAA",0,0,NA
"352","US1CASB0001",2010-08-18,"NOAA",0,0,NA
"353","US1CASB0001",2010-08-19,"NOAA",0,0,NA
"354","US1CASB0001",2010-08-20,"NOAA",0,0,NA
"355","US1CASB0001",2010-08-21,"NOAA",0,0,NA
"356","US1CASB0001",2010-08-22,"NOAA",0,0,NA
"357","US1CASB0001",2010-08-23,"NOAA",0,0,NA
"358","US1CASB0001",2010-08-24,"NOAA",0,0,NA
"359","US1CASB0001",2010-08-25,"NOAA",0,0,NA
"360","US1CASB0001",2010-08-26,"NOAA",0,0,NA
"361","US1CASB0001",2010-08-27,"NOAA",0,0,NA
"362","US1CASB0001",2010-08-28,"NOAA",0,0,NA
"363","US1CASB0001",2010-08-29,"NOAA",0,0,NA
"364","US1CASB0001",2010-08-30,"NOAA",0,0,NA
"365","US1CASB0001",2010-08-31,"NOAA",0,0,NA
"366","US1CASB0001",2010-09-01,"NOAA",0,0,NA
"367","US1CASB0001",2010-09-02,"NOAA",0,0,NA
"368","US1CASB0001",2010-09-03,"NOAA",0,0,NA
"369","US1CASB0001",2010-09-04,"NOAA",0,0,NA
"370","US1CASB0001",2010-09-05,"NOAA",0,0,NA
"371","US1CASB0001",2010-09-06,"NOAA",0,0,NA
"372","US1CASB0001",2010-09-07,"NOAA",0,0,NA
"373","US1CASB0001",2010-09-08,"NOAA",0,0,NA
"374","US1CASB0001",2010-09-09,"NOAA",0,0,NA
"375","US1CASB0001",2010-09-10,"NOAA",0,0,NA
"376","US1CASB0001",2010-09-11,"NOAA",0,0,NA
"377","US1CASB0001",2010-09-12,"NOAA",0,0,NA
"378","US1CASB0001",2010-09-13,"NOAA",0,0,NA
"379","US1CASB0001",2010-09-14,"NOAA",0,0,NA
"380","US1CASB0001",2010-09-15,"NOAA",0,0,NA
"381","US1CASB0001",2010-09-16,"NOAA",0,0,NA
"382","US1CASB0001",2010-09-17,"NOAA",5,0,NA
"383","US1CASB0001",2010-09-18,"NOAA",0,NA,NA
"384","US1CASB0001",2010-09-19,"NOAA",0,0,NA
"385","US1CASB0001",2010-09-20,"NOAA",0,0,NA
"386","US1CASB0001",2010-09-21,"NOAA",0,NA,NA
"387","US1CASB0001",2010-09-22,"NOAA",NA,NA,NA
"388","US1CASB0001",2010-09-23,"NOAA",0,0,NA
"389","US1CASB0001",2010-09-24,"NOAA",0,0,NA
"390","US1CASB0001",2010-09-25,"NOAA",0,0,NA
"391","US1CASB0001",2010-09-26,"NOAA",0,0,NA
"392","US1CASB0001",2010-09-27,"NOAA",0,0,NA
"393","US1CASB0001",2010-09-28,"NOAA",0,0,NA
"394","US1CASB0001",2010-09-29,"NOAA",0,0,NA
"395","US1CASB0001",2010-09-30,"NOAA",0,0,NA
"396","US1CASB0001",2010-10-01,"NOAA",0,0,NA
"397","US1CASB0001",2010-10-02,"NOAA",0,0,NA
"398","US1CASB0001",2010-10-03,"NOAA",0,NA,NA
"399","US1CASB0001",2010-10-04,"NOAA",10,NA,NA
"400","US1CASB0001",2010-10-05,"NOAA",0,NA,NA
"401","US1CASB0001",2010-10-06,"NOAA",168,NA,NA
"402","US1CASB0001",2010-10-07,"NOAA",20,NA,NA
"403","US1CASB0001",2010-10-08,"NOAA",0,0,NA
"404","US1CASB0001",2010-10-09,"NOAA",0,0,NA
"405","US1CASB0001",2010-10-10,"NOAA",0,0,NA
"406","US1CASB0001",2010-10-11,"NOAA",NA,NA,NA
"407","US1CASB0001",2010-10-12,"NOAA",0,0,NA
"408","US1CASB0001",2010-10-13,"NOAA",3,NA,NA
"409","US1CASB0001",2010-10-14,"NOAA",3,NA,NA
"410","US1CASB0001",2010-10-15,"NOAA",5,NA,NA
"411","US1CASB0001",2010-10-16,"NOAA",15,NA,NA
"412","US1CASB0001",2010-10-17,"NOAA",257,NA,NA
"413","US1CASB0001",2010-10-18,"NOAA",13,NA,NA
"414","US1CASB0001",2010-10-19,"NOAA",381,NA,NA
"415","US1CASB0001",2010-10-20,"NOAA",635,NA,NA
"416","US1CASB0001",2010-10-21,"NOAA",5,NA,NA
"417","US1CASB0001",2010-10-22,"NOAA",3,NA,NA
"418","US1CASB0001",2010-10-23,"NOAA",0,0,NA
"419","US1CASB0001",2010-10-24,"NOAA",0,0,NA
"420","US1CASB0001",2010-10-25,"NOAA",0,0,NA
"421","US1CASB0001",2010-10-26,"NOAA",0,0,NA
"422","US1CASB0001",2010-10-27,"NOAA",0,0,NA
"423","US1CASB0001",2010-10-28,"NOAA",0,0,NA
"424","US1CASB0001",2010-10-29,"NOAA",0,0,NA
"425","US1CASB0001",2010-10-30,"NOAA",259,NA,NA
"426","US1CASB0001",2010-10-31,"NOAA",5,NA,NA
"427","US1CASB0001",2010-11-01,"NOAA",0,0,NA
"428","US1CASB0001",2010-11-02,"NOAA",0,0,NA
"429","US1CASB0001",2010-11-03,"NOAA",0,0,NA
"430","US1CASB0001",2010-11-04,"NOAA",0,NA,NA
"431","US1CASB0001",2010-11-05,"NOAA",0,0,NA
"432","US1CASB0001",2010-11-06,"NOAA",0,0,NA
"433","US1CASB0001",2010-11-07,"NOAA",0,0,NA
"434","US1CASB0001",2010-11-08,"NOAA",64,NA,NA
"435","US1CASB0001",2010-11-09,"NOAA",0,0,NA
"436","US1CASB0001",2010-11-10,"NOAA",0,0,NA
"437","US1CASB0001",2010-11-11,"NOAA",0,0,NA
"438","US1CASB0001",2010-11-12,"NOAA",0,0,NA
"439","US1CASB0001",2010-11-13,"NOAA",0,0,NA
"440","US1CASB0001",2010-11-14,"NOAA",0,0,NA
"441","US1CASB0001",2010-11-15,"NOAA",0,0,NA
"442","US1CASB0001",2010-11-16,"NOAA",0,0,NA
"443","US1CASB0001",2010-11-17,"NOAA",0,0,NA
"444","US1CASB0001",2010-11-18,"NOAA",0,NA,NA
"445","US1CASB0001",2010-11-19,"NOAA",0,0,NA
