domainname,choicesequence,choice,choicedesc,choiceobsolete
chorizon_text_kind,1,Edit notes,Text entries that describe what changes were made to the data and why those changes were made.,No
chorizon_text_kind,2,Miscellaneous notes,Text entries not related to any of the other choices.,No
chorizon_text_kind,3,Certification notes,"Indicates records that contain notes related to certification of data objects.  Typically, data elements certified in the object are listed in the text attached to this record.",Yes
chorizon_text_kind,4,Correlation notes,,Yes
chorizon_text_kind,5,Nontechnical description,,Yes
chorizon_text_kind,6,SOI5 description,,Yes
component_kind,1,Family,The component is classified and described at the family level of Soil Taxonomy.,No
component_kind,2,Miscellaneous area,The component is classified and described as a non-soil area.,No
component_kind,3,Series,"The component is classified and described at the soil series level, the lowest level of Soil Taxonomy.",No
component_kind,4,Taxadjunct,"The component is described slightly outside the Soil Taxomonic limits of the name assigned.  However, these differences are not significant enough to affect use and management of the soil.",No
component_kind,5,Taxon above family,The component is described and classified at some level of Soil Taxonomy above the family level.,No
component_kind,6,Variant,"The component is described as being outside the range of the series for which it is named.  The differences are great enough to  warrant a new series, they do affect the use and management of the soil, but the geographical extent is considered too small to justify creating a new series.",Yes
component_text_kind,1,Edit notes,"Text entries that describe what changes were made to the component object, exclusive of the horizon object, and why those changes were made.",No
component_text_kind,2,Correlation notes,"Text entries that document correlation concerns that affect this component.  For example, notes about the comparison of this component to the official series for which it is named.",No
component_text_kind,3,SOI5 description,The SOI-5 description converted from SSSD.,No
component_text_kind,4,Miscellaneous notes,Text entries not related to any of the other choices.,No
component_text_kind,5,Nontechnical description,,Yes
component_text_kind,6,Certification notes,"Indicates records that contain notes related to certification of data objects.  Typically, data elements certified in the object are listed in the text attached to this record.",Yes
conservation_tree_shrub_group,1,1,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,2,1a,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,3,1h,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,4,1k,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,5,1kk,,Yes
conservation_tree_shrub_group,6,1s,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,7,1sa,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,8,1sk,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,9,1skk,,Yes
conservation_tree_shrub_group,10,1ss,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,11,1ssa,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,12,2,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,13,2a,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,14,2h,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,15,2k,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,16,2kk,,Yes
conservation_tree_shrub_group,17,3,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,18,3a,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,19,4,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,20,4a,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,21,4c,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,22,4ca,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,23,4cc,,Yes
conservation_tree_shrub_group,24,4ck,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,25,4k,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,26,4sa,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,27,5,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,28,5a,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,29,5k,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,30,5kk,,Yes
conservation_tree_shrub_group,31,6,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,32,6a,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,33,6d,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,34,6da,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,35,6dk,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,36,6g,,Yes
conservation_tree_shrub_group,37,6ga,,Yes
conservation_tree_shrub_group,38,6gk,,Yes
conservation_tree_shrub_group,39,6gkk,,Yes
conservation_tree_shrub_group,40,6k,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,41,6kk,,Yes
conservation_tree_shrub_group,42,7,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,43,7a,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,44,7k,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,45,7s,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,46,7sa,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,47,7sk,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,48,8,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,49,8k,,Yes
conservation_tree_shrub_group,50,9,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,51,9c,,Yes
conservation_tree_shrub_group,52,9l,,Yes
conservation_tree_shrub_group,53,9n,,Yes
conservation_tree_shrub_group,54,9nw,,Yes
conservation_tree_shrub_group,55,9w,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,56,10,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,57,Not applicable,,Yes
conservation_tree_shrub_group,58,Not rated,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,59,1f,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,60,1af,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,61,1hf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,62,1kf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,63,1sf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,64,1saf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,65,1skf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,66,1ssf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,67,1ssaf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,68,2f,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,69,2af,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,70,2hf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,71,2kf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,72,3f,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,73,3af,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,74,4f,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,75,4cf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,76,4caf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,77,4ckf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,78,4kf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,79,4saf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,80,5f,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,81,5af,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,82,5kf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,83,6f,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,84,6af,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,85,6df,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,86,6daf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,87,6dkf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,88,6kf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,89,7f,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,90,7af,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,91,7kf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,92,7sf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,93,7saf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,94,7skf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,95,8f,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,96,9f,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,97,9wf,"References:  National Forestry Manual, National Soil Survey Handbook.",No
conservation_tree_shrub_group,98,4af,"References:  National Forestry Manual, National Soil Survey Handbook.",No
corrosion_concrete,1,Low,References:  Part 618 National Soil Survey Handbook.  Chapter 6 Soil Survey Manual.,No
corrosion_concrete,2,Moderate,References:  Part 618 National Soil Survey Handbook.  Chapter 6 Soil Survey Manual.,No
corrosion_concrete,3,High,References:  Part 618 National Soil Survey Handbook.  Chapter 6 Soil Survey Manual.,No
corrosion_concrete,4,Not Rated,"Current recourse on a calculation is to set the field to NULL which is not appropriate for this attribute since it was calculated, but not rated.",No
corrosion_uncoated_steel,1,Low,References:  Part 618 National Soil Survey Handbook.  Chapter 6 Soil Survey Manual.,No
corrosion_uncoated_steel,2,Moderate,References:  Part 618 National Soil Survey Handbook.  Chapter 6 Soil Survey Manual.,No
corrosion_uncoated_steel,3,High,References:  Part 618 National Soil Survey Handbook.  Chapter 6 Soil Survey Manual.,No
corrosion_uncoated_steel,4,Not Rated,"Current recourse on a calculation is to set the field to NULL which is not appropriate for this attribute since it was calculated, but not rated.",No
crop_name,1,African stargrass,,No
crop_name,2,Alfafa,,No
crop_name,3,Alfalfa hay,,No
crop_name,4,Alfalfa pasture,,No
crop_name,5,Alfalfa seed,,No
crop_name,6,Almonds,,No
crop_name,7,Annual ryegrass,,No
crop_name,8,Apples,,No
crop_name,9,Apricots,,No
crop_name,10,Artichokes,,No
crop_name,11,Asparagus,,No
crop_name,12,Avocados,,No
crop_name,13,Bahiagrass,,No
crop_name,14,Bahiagrass hay,,No
crop_name,15,Bananas,,No
crop_name,16,Barley,,No
crop_name,17,Spring barley,,No
crop_name,18,Spring barley-fallow,,No
crop_name,19,Winter barley,,No
crop_name,20,Winter barley-fallow,,No
crop_name,21,Barley-fallow,,No
crop_name,22,Dry lima beans,,No
crop_name,23,Dry pinto beans,,No
crop_name,24,Dry beans,,No
crop_name,25,Snap beans,,No
crop_name,26,Unshelled lima beans,,No
crop_name,27,Beets,,No
crop_name,28,Bentgrass seed,,No
crop_name,29,Bermudagrass-clover hay,,No
crop_name,30,Bermudagrass-fescue hay,,No
crop_name,31,Big bluestem,,No
crop_name,32,Blackberries,,No
crop_name,33,Blueberries,,No
crop_name,34,Bluegrass,,No
crop_name,35,Bluegrass seed,,No
crop_name,36,Bluegrass-ladino,,No
crop_name,37,Bluegrass-ladino hay,,No
crop_name,38,Bluegrass-trefoil,,No
crop_name,39,Bluegrass-trefoil hay,,No
crop_name,40,Bluegrass-white clover,,No
crop_name,41,Bluegrass-white clover hay,,No
crop_name,42,Breadfruit,,No
crop_name,43,Broccoli,,No
crop_name,44,Bromegrass hay,,No
crop_name,45,Bromegrass-alfalfa,,No
crop_name,46,Bromegrass-alfalfa hay,,No
crop_name,47,Bromegrass-alsike,,No
crop_name,48,Bromegrass-alsike hay,,No
crop_name,49,Bromegrass-ladino,,No
crop_name,50,Broomcorn,,No
crop_name,51,Brussel sprouts,,No
crop_name,52,Buckwheat,,No
crop_name,53,Buffel grass,,No
crop_name,54,Cabbage,,No
crop_name,55,Chinese cabbage,,No
crop_name,56,Mustard cabbage,,No
crop_name,57,Canarygrass hay,,No
crop_name,58,Canarygrass-alsike,,No
crop_name,59,Canarygrass-alsike hay,,No
crop_name,60,Canarygrass-ladino,,No
crop_name,61,Canarygrass-ladino hay,,No
crop_name,62,Spring canola,,No
crop_name,63,Winter canola,,No
crop_name,64,Cantaloupe,,No
crop_name,65,Carrots,,No
crop_name,66,Cassava,,No
crop_name,67,Caucasian bluestem,,No
crop_name,68,Caucasian bluestem hay,,No
crop_name,69,Cauliflower,,No
crop_name,70,Causian bluegrass,,Yes
crop_name,71,Celery,,No
crop_name,72,Cherries,,No
crop_name,73,Clover seed,,No
crop_name,74,Coconuts,,No
crop_name,75,Coffee,,No
crop_name,76,Common bermudagrass,,No
crop_name,77,Common bermudagrass hay,,No
crop_name,78,Common ryegrass seed,,No
crop_name,79,Cool-season grasses,,No
crop_name,80,Corn,,No
crop_name,81,Corn silage,,No
crop_name,82,Sweet corn,,No
crop_name,83,Cotton lint,,No
crop_name,84,Pima cotton lint,,No
crop_name,85,Cowpeas,,No
crop_name,86,Cranberries,,No
crop_name,87,Crested wheatgrass,,No
crop_name,88,Crested wheatgrass-alfalfa hay,,No
crop_name,89,Crimson clover,,No
crop_name,90,Cucumbers,,No
crop_name,91,Fescue,,No
crop_name,92,Filberts,,No
crop_name,93,Fine fescue seed,,No
crop_name,94,Flax,,No
crop_name,95,Garlic,,No
crop_name,96,Garrisongrass,,No
crop_name,97,Grain sorghum,,No
crop_name,98,Grapefruit,,No
crop_name,99,Table grapes,,No
crop_name,100,Wine grapes,,No
crop_name,101,Grass hay,,No
crop_name,102,Grass silage,,No
crop_name,103,Grass seed,,No
crop_name,104,Grass-clover,,No
crop_name,105,Grass-legume hay,,No
crop_name,106,Grass-legume pasture,,No
crop_name,107,Green chop,,No
crop_name,108,Green needlegrass,,No
crop_name,109,Guinea grass,,No
crop_name,110,Annual hay crop,,No
crop_name,111,Hops,,No
crop_name,112,Improved bermudagrass,,No
crop_name,113,Improved bermudagrass hay,,No
crop_name,114,Indiangrass,,No
crop_name,115,Introduced bluestem,,No
crop_name,116,Johnsongrass,,No
crop_name,117,Kentucky bluegrass,,No
crop_name,118,Kincaid red clover,,No
crop_name,119,Kleingrass,,No
crop_name,120,Kobe lespedeza,,No
crop_name,121,Ladino clover,,No
crop_name,122,Legume hay,,No
crop_name,123,Lemons,,No
crop_name,124,Dry lentils,,No
crop_name,125,Lettuce,,No
crop_name,126,Limes,,No
crop_name,127,Loganberries,,No
crop_name,128,Macadamia nuts,,No
crop_name,129,Mangos,,No
crop_name,130,Merkergrass,,No
crop_name,131,Millet,,No
crop_name,132,Distillate mint,,No
crop_name,133,Molassesgrass,,No
crop_name,134,Mungbeans,,No
crop_name,135,Oats,,No
crop_name,136,Hay oats,,No
crop_name,137,Olives,,No
crop_name,138,Onions,,No
crop_name,139,Green onions,,No
crop_name,140,Oranges,,No
crop_name,141,Orchardgrass,,No
crop_name,142,Orchardgrass hay,,No
crop_name,143,Orchardgrass seed,,No
crop_name,144,Orchardgrass-alfalfa,,No
crop_name,145,Orchardgrass-alfalfa hay,,No
crop_name,146,Orchardgrass-alsike,,No
crop_name,147,Orchardgrass-alsike hay,,No
crop_name,148,Orchardgrass-ladino,,No
crop_name,149,Orchardgrass-ladino hay,,No
crop_name,150,Orchardgrass-lespedeza,,No
crop_name,151,Orchardgrass-lespedeza hay,,No
crop_name,152,Orchardgrass-red clover,,No
crop_name,153,Orchardgrass-red clover hay,,No
crop_name,154,Orchardgrass-trefoil,,No
crop_name,155,Orchardgrass-trefoil hay,,No
crop_name,156,Pangolagrass,,No
crop_name,157,Papaya,,No
crop_name,158,Paragrass,,No
crop_name,159,Pasture,,No
crop_name,160,Peaches,,No
crop_name,161,Peanuts,,No
crop_name,162,Pears,,No
crop_name,163,Winter pears,,No
crop_name,164,Canning peas,,No
crop_name,165,Dry peas,,No
crop_name,166,Green peas,,No
crop_name,167,Pecans,,No
crop_name,168,Black pepper,,No
crop_name,169,Peppers,,No
crop_name,170,Dry chili peppers,,No
crop_name,171,Fresh chili peppers,,No
crop_name,172,Green peppers,,No
crop_name,173,Perennial ryegrass seed,,No
crop_name,174,Improved permanent pasture,,No
crop_name,175,Unimproved permanent pasture,,No
crop_name,176,Pigeonpeas,,No
crop_name,177,Pineapple,,No
crop_name,178,Ratoon pineapple,,No
crop_name,179,Pistachios,,No
crop_name,180,Plantains,,No
crop_name,181,Plums,,No
crop_name,182,Irish potatoes,,No
crop_name,183,Prunes,,No
crop_name,184,Dry prunes,,No
crop_name,185,Pubescent wheatgrass,,No
crop_name,186,Pumpkins,,No
crop_name,187,Raisins,,No
crop_name,188,Raspberries,,No
crop_name,189,Red clover hay,,No
crop_name,190,Red clover seed,,No
crop_name,191,Reed canarygrass,,No
crop_name,192,Rice,,No
crop_name,193,Rye,,No
crop_name,194,Rye grazeout,,No
crop_name,195,Safflower,,No
crop_name,196,Small grains grazeout,,No
crop_name,197,Small grains hay,,No
crop_name,198,Small grains silage,,No
crop_name,199,Smooth bromegrass,,No
crop_name,200,Sorghum grazed,,No
crop_name,201,Sorghum hay,,No
crop_name,202,Sorghum silage,,No
crop_name,203,Soybeans,,No
crop_name,204,Spinach,,No
crop_name,205,Summer squash,,No
crop_name,206,Winter squash,,No
crop_name,207,Strawberries,,No
crop_name,208,Strawberry plants,,No
crop_name,209,Sugar beets,,No
crop_name,210,Sugarcane,,No
crop_name,211,18-month sugarcane,,No
crop_name,212,Ratoon sugarcane,,No
crop_name,213,Spring sugarcane,,No
crop_name,214,Sunflowers,,No
crop_name,215,Sweet potatoes,,No
crop_name,216,Switchgrass,,No
crop_name,217,Tall fescue,,No
crop_name,218,Tall fescue hay,,No
crop_name,219,Tall fescue seed,,No
crop_name,220,Tall fescue-alfalfa,,No
crop_name,221,Tall fescue-alfalfa hay,,No
crop_name,222,Tall fescue-alsike,,No
crop_name,223,Tall fescue-alsike hay,,No
crop_name,224,Tall fescue-ladino,,No
crop_name,225,Tall fescue-ladino hay,,No
crop_name,226,Tall fescue-lespedeza,,No
crop_name,227,Tall fescue-lespedeza hay,,No
crop_name,228,Tall fescue-red clover,,No
crop_name,229,Tall fescue-red clover hay,,No
crop_name,230,Tall wheatgrass,,No
crop_name,231,Tangelos,,No
crop_name,232,Tangerines,,No
crop_name,233,Taniers,,No
crop_name,234,Taro,,No
crop_name,235,Timothy hay,,No
crop_name,236,Timothy-alfalfa,,No
crop_name,237,Timothy-alfalfa hay,,No
crop_name,238,Timothy-alsike,,No
crop_name,239,Timothy-alsike hay,,No
crop_name,240,Timothy-red clover,,No
crop_name,241,Timothy-red clover hay,,No
crop_name,242,Tobacco,,No
crop_name,243,Burley tobacco,,No
crop_name,244,Dark air-cured tobacco,,No
crop_name,245,Fire-cured tobacco,,No
crop_name,246,Flue-cured tobacco,,No
crop_name,247,Light air-cured tobacco,,No
crop_name,248,Tomatoes,,No
crop_name,249,Trefoil hay,,No
crop_name,250,Trefoil-grass,,No
crop_name,251,Trefoil-grass hay,,No
crop_name,252,Walnuts,,No
crop_name,253,Warm season grasses,,No
crop_name,254,Watermelons,,No
crop_name,255,Weeping lovegrass,,No
crop_name,256,Wheat,,No
crop_name,257,Wheat grazeout,,No
crop_name,258,Wheat (October-March),,No
crop_name,259,Spring wheat,,No
crop_name,260,Spring wheat-fallow,,No
crop_name,261,Winter wheat,,No
crop_name,262,Winter wheat-fallow,,No
crop_name,263,Yams,,No
crop_yield_units,1,Cwt,100 pounds/acre,No
crop_yield_units,2,AUM,Animal unit months/acre,No
crop_yield_units,3,Boxes,Boxes/acre,No
crop_yield_units,4,Bu,Bushels/acre,No
crop_yield_units,5,Crates,Crates/acre,No
crop_yield_units,6,Lbs,Pounds/acre,No
crop_yield_units,7,Sacks,Sacks/acre,No
crop_yield_units,8,Thousands,Thousands/acre,No
crop_yield_units,9,Tons,Tons/acre,No
depthqualmode,1,Surface Layer,,No
depthqualmode,2,All Layers,,No
depthqualmode,3,Depth Range,,No
depthuom,1,Centimeters,,No
depthuom,2,Inches,,No
diag_horz_feat_kind,1,Abrupt textural change,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,2,Agric horizon,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,3,Albic horizon,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,4,Albic materials,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,5,Andic soil properties,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,6,Anhydrous conditions,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,7,Anthric saturation,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,8,Anthropic epipedon,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,9,Aquic conditions,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,10,Argillic horizon,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,11,Artifacts,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,12,Calcic horizon,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,13,Cambic horizon,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,14,Coprogenous earth,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
diag_horz_feat_kind,15,Cryoturbation,"Reference:  Keys to Soil Taxonomy Twelfth Edition, Soil Survey Staff, USDA, Natural Resources Conservation Service",No
