plantsym,plantsciname,plantcomname,forestunprod,rangeprod,cokey,coeplantskey
2FP,,other perennial forbs,NA,5,14875503,64093600
2GP,,other perennial grasses,NA,10,14875503,64093628
2SD,,other  shrubs,NA,4,14875503,64093650
ANHA,Andropogon hallii,sand bluestem,NA,10,14875503,64093703
CALO,Calamovilfa longifolia,prairie sandreed,NA,15,14875503,64094177
ELLAL,Elymus lanceolatus ssp. lanceolatus,thickspike wheatgrass,NA,10,14875503,64094325
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875503,64094402
MUMO,Muhlenbergia montana,mountain muhly,NA,10,14875503,64094617
SCSC,Schizachyrium scoparium,little bluestem,NA,5,14875503,64094979
ANHA,Andropogon hallii,sand bluestem,NA,10,14875510,64093706
ATCA2,Atriplex canescens,fourwing saltbush,NA,5,14875510,64093874
BOGR2,Bouteloua gracilis,blue grama,NA,10,14875510,64094041
PAOB,Panicum obtusum,vine mesquite,NA,10,14875510,64094697
PASM,Pascopyrum smithii,western wheatgrass,NA,20,14875510,64094706
PAVI2,Panicum virgatum,switchgrass,NA,5,14875510,64094830
SPAI,Sporobolus airoides,alkali sacaton,NA,30,14875510,64095094
AGSM,Agropyron smithii,western wheatgrass,NA,5,14875535,64093685
ANHA,Andropogon hallii,sand bluestem,NA,5,14875535,64093773
ARFE4,Aristida fendleriana,Fendler threeawn,NA,3,14875535,64093786
ARFR4,Artemisia frigida,fringed sagewort,NA,5,14875535,64093826
BOCU,Bouteloua curtipendula,side-oats grama,NA,10,14875535,64093921
BOGR2,Bouteloua gracilis,blue grama,NA,NA,14875535,64094127
CALO,Calamovilfa longifolia,prairie sandreed,NA,20,14875535,64094264
HECO26,Hesperostipa comata,needle and thread,NA,10,14875535,64094396
KOCR,Koeleria cristata,prairie Junegrass,NA,10,14875535,64094531
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875535,64095073
ANHA,Andropogon hallii,sand bluestem,NA,10,14875536,64093774
BOCU,Bouteloua curtipendula,sideoats grama,NA,5,14875536,64094030
BOGR2,Bouteloua gracilis,blue grama,NA,20,14875536,64094128
CALO,Calamovilfa longifolia,prairie sandreed,NA,30,14875536,64094265
ELMA7,Elymus macrourus,thickspike wheatgrass,NA,5,14875536,64094334
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875536,64094503
PAVI2,Panicum virgatum,switchgrass,NA,10,14875536,64094857
SCSC,Schizachyrium scoparium,little bluestem,NA,5,14875536,64095074
2FP,,other perennial forbs,NA,5,14875537,64093602
2GP,,other perennial grasses,NA,10,14875537,64093630
CAFI,Carex filifolia,threadleaf sedge,NA,5,14875537,64094160
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,20,14875537,64094504
PASM,Pascopyrum smithii,western wheatgrass,NA,25,14875537,64094828
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875537,64095075
AGSM,Agropyron smithii,western wheatgrass,NA,5,14875541,64093686
ANHA,Andropogon hallii,sand bluestem,NA,5,14875541,64093763
ARFE4,Aristida fendleriana,Fendler threeawn,NA,3,14875541,64093787
ARFR4,Artemisia frigida,fringed sagewort,NA,5,14875541,64093827
BOCU,Bouteloua curtipendula,side-oats grama,NA,10,14875541,64093922
BOGR2,Bouteloua gracilis,blue grama,NA,NA,14875541,64094129
CALO,Calamovilfa longifolia,prairie sandreed,NA,20,14875541,64094266
HECO26,Hesperostipa comata,needle and thread,NA,10,14875541,64094397
KOCR,Koeleria cristata,prairie Junegrass,NA,10,14875541,64094533
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875541,64095065
ANHA,Andropogon hallii,sand bluestem,NA,10,14875542,64093764
BOCU,Bouteloua curtipendula,sideoats grama,NA,5,14875542,64094032
BOGR2,Bouteloua gracilis,blue grama,NA,20,14875542,64094130
CALO,Calamovilfa longifolia,prairie sandreed,NA,30,14875542,64094255
ELMA7,Elymus macrourus,thickspike wheatgrass,NA,5,14875542,64094335
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875542,64094494
PAVI2,Panicum virgatum,switchgrass,NA,10,14875542,64094858
SCSC,Schizachyrium scoparium,little bluestem,NA,5,14875542,64095066
2FP,,other perennial forbs,NA,5,14875543,64093604
2GP,,other perennial grasses,NA,10,14875543,64093632
CAFI,Carex filifolia,threadleaf sedge,NA,5,14875543,64094161
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,20,14875543,64094495
PASM,Pascopyrum smithii,western wheatgrass,NA,25,14875543,64094818
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875543,64095067
AGSM,Agropyron smithii,western wheatgrass,NA,5,14875544,64093687
ANHA,Andropogon hallii,sand bluestem,NA,5,14875544,64093765
ARFE4,Aristida fendleriana,Fendler threeawn,NA,3,14875544,64093788
ARFR4,Artemisia frigida,fringed sagewort,NA,5,14875544,64093828
BOCU,Bouteloua curtipendula,side-oats grama,NA,10,14875544,64093923
BOGR2,Bouteloua gracilis,blue grama,NA,NA,14875544,64094131
CALO,Calamovilfa longifolia,prairie sandreed,NA,20,14875544,64094256
HECO26,Hesperostipa comata,needle and thread,NA,10,14875544,64094398
KOCR,Koeleria cristata,prairie Junegrass,NA,10,14875544,64094534
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875544,64095068
ANHA,Andropogon hallii,sand bluestem,NA,10,14875545,64093766
BOCU,Bouteloua curtipendula,sideoats grama,NA,5,14875545,64094033
BOGR2,Bouteloua gracilis,blue grama,NA,20,14875545,64094120
CALO,Calamovilfa longifolia,prairie sandreed,NA,30,14875545,64094257
ELMA7,Elymus macrourus,thickspike wheatgrass,NA,5,14875545,64094336
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875545,64094496
PAVI2,Panicum virgatum,switchgrass,NA,10,14875545,64094859
SCSC,Schizachyrium scoparium,little bluestem,NA,5,14875545,64095069
AGSM,Agropyron smithii,western wheatgrass,NA,NA,14875546,64093688
ANHA,Andropogon hallii,sand bluestem,NA,5,14875546,64093767
BOCU,Bouteloua curtipendula,sideoats grama,NA,15,14875546,64094034
BOGR2,Bouteloua gracilis,blue grama,NA,NA,14875546,64094121
CALO,Calamovilfa longifolia,prairie sandreed,NA,20,14875546,64094258
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,15,14875546,64094497
SCSC,Schizachyrium scoparium,little bluestem,NA,15,14875546,64095070
SPCR,Sporobolus cryptandrus,sand dropseed,NA,NA,14875546,64095187
BOCU,Bouteloua curtipendula,sideoats grama,NA,10,14875551,64094023
CALO,Calamovilfa longifolia,prairie sandreed,NA,10,14875551,64094259
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875551,64094498
MUMO,Muhlenbergia montana,mountain muhly,NA,10,14875551,64094622
PASM,Pascopyrum smithii,western wheatgrass,NA,5,14875551,64094821
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875551,64095061
BOCU,Bouteloua curtipendula,sideoats grama,NA,10,14875554,64094024
CALO,Calamovilfa longifolia,prairie sandreed,NA,10,14875554,64094260
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875554,64094499
MUMO,Muhlenbergia montana,mountain muhly,NA,10,14875554,64094662
PASM,Pascopyrum smithii,western wheatgrass,NA,5,14875554,64094822
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875554,64095062
BOCU,Bouteloua curtipendula,sideoats grama,NA,10,14875556,64094025
CALO,Calamovilfa longifolia,prairie sandreed,NA,10,14875556,64094249
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875556,64094488
MUMO,Muhlenbergia montana,mountain muhly,NA,10,14875556,64094663
PASM,Pascopyrum smithii,western wheatgrass,NA,5,14875556,64094823
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875556,64095063
ATCA2,Atriplex canescens,fourwing saltbush,NA,5,14875557,64093875
KRLA2,Krascheninnikovia lanata,winterfat,NA,5,14875557,64094605
PASM,Pascopyrum smithii,western wheatgrass,NA,10,14875557,64094812
PLJA,Pleuraphis jamesii,galleta,NA,20,14875557,64094881
ANHA,Andropogon hallii,sand bluestem,NA,5,14875564,64093768
BOCU,Bouteloua curtipendula,sideoats grama,NA,15,14875564,64094027
CALO,Calamovilfa longifolia,prairie sandreed,NA,20,14875564,64094251
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,15,14875564,64094490
SCSC,Schizachyrium scoparium,little bluestem,NA,15,14875564,64095053
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875567,64094491
KOCR,Koeleria cristata,prairie Junegrass,NA,10,14875567,64094576
MUMO,Muhlenbergia montana,mountain muhly,NA,10,14875567,64094665
PASM,Pascopyrum smithii,western wheatgrass,NA,15,14875567,64094814
QUGA,Quercus gambelii,Gambel's oak,NA,1,14875567,64094957
ANHA,Andropogon hallii,sand bluestem,NA,10,14875589,64093758
ARFI2,Artemisia filifolia,sand sagebrush,NA,5,14875589,64093817
CALO,Calamovilfa longifolia,prairie sandreed,NA,10,14875589,64094253
PAVI2,Panicum virgatum,switchgrass,NA,30,14875589,64094860
SPCR,Sporobolus cryptandrus,sand dropseed,NA,15,14875589,64095188
2GP,,other perennial grasses,NA,30,14875593,64093647
JUNCU,Juncus,rush,NA,10,14875593,64094521
POAN3,Populus angustifolia,narrowleaf cottonwood,NA,5,14875593,64094934
SALIX,Salix,willow,NA,10,14875593,64094976
AGSM,Agropyron smithii,western wheatgrass,NA,NA,14875596,64093689
ANHA,Andropogon hallii,sand bluestem,NA,5,14875596,64093759
BOCU,Bouteloua curtipendula,sideoats grama,NA,15,14875596,64094020
BOGR2,Bouteloua gracilis,blue grama,NA,NA,14875596,64094122
CALO,Calamovilfa longifolia,prairie sandreed,NA,20,14875596,64094254
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,15,14875596,64094493
SCSC,Schizachyrium scoparium,little bluestem,NA,15,14875596,64095055
SPCR,Sporobolus cryptandrus,sand dropseed,NA,NA,14875596,64095189
ANHA,Andropogon hallii,sand bluestem,NA,5,14875597,64093760
ARFI2,Artemisia filifolia,sand sagebrush,NA,3,14875597,64093818
BOCU,Bouteloua curtipendula,sideoats grama,NA,10,14875597,64094021
BOGR2,Bouteloua gracilis,blue grama,NA,25,14875597,64094123
CALO,Calamovilfa longifolia,prairie sandreed,NA,25,14875597,64094243
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,5,14875597,64094482
PAVI2,Panicum virgatum,switchgrass,NA,5,14875597,64094861
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875597,64095056
SPCR,Sporobolus cryptandrus,sand dropseed,NA,3,14875597,64095190
ANHA,Andropogon hallii,sand bluestem,NA,10,14875598,64093761
BOCU,Bouteloua curtipendula,sideoats grama,NA,10,14875598,64094022
BOGR2,Bouteloua gracilis,blue grama,NA,25,14875598,64094124
CALO,Calamovilfa longifolia,prairie sandreed,NA,25,14875598,64094244
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875598,64094483
PASM,Pascopyrum smithii,western wheatgrass,NA,5,14875598,64094808
SPCR,Sporobolus cryptandrus,sand dropseed,NA,5,14875598,64095191
BLTR,Blepharoneuron tricholepis,pine dropseed,5,5,14875605,64093912
CEMO2,Cercocarpus montanus,true mountain mahogany,5,5,14875605,64094282
DAPA2,Danthonia parryi,Parry's danthonia,10,10,14875605,64094298
FEAR2,Festuca arizonica,Arizona fescue,20,20,14875605,64094371
KOCR,Koeleria cristata,prairie Junegrass,10,10,14875605,64094569
MUMO,Muhlenbergia montana,mountain muhly,15,15,14875605,64094658
QUGA,Quercus gambelii,Gambel's oak,5,5,14875605,64094970
ATCA2,Atriplex canescens,fourwing saltbush,NA,5,14875608,64093876
BOGR2,Bouteloua gracilis,blue grama,NA,15,14875608,64094115
PAOB,Panicum obtusum,vine mesquite,NA,5,14875608,64094698
PASM,Pascopyrum smithii,western wheatgrass,NA,20,14875608,64094811
PLJA,Pleuraphis jamesii,galleta,NA,15,14875608,64094884
SPAI,Sporobolus airoides,alkali sacaton,NA,30,14875608,64095095
2FP,,other perennial forbs,NA,5,14875620,64093626
2GP,,other perennial grasses,NA,3,14875620,64093649
AMUT,Amelanchier utahensis,Utah serviceberry,NA,3,14875620,64093696
ARFR4,Artemisia frigida,fringed sagewort,NA,4,14875620,64093859
BRMA4,Bromus marginatus,mountain brome,NA,5,14875620,64094144
DAPA2,Danthonia parryi,Parry's danthonia,NA,3,14875620,64094306
FEAR2,Festuca arizonica,Arizona fescue,NA,10,14875620,64094390
KOCR,Koeleria cristata,prairie Junegrass,NA,5,14875620,64094574
MUMO,Muhlenbergia montana,mountain muhly,NA,8,14875620,64094651
PASM,Pascopyrum smithii,western wheatgrass,NA,20,14875620,64094801
POA,Poa,bluegrass,NA,4,14875620,64094928
SCSC,Schizachyrium scoparium,little bluestem,NA,2,14875620,64095058
STIPA,Stipa,needlegrass,NA,10,14875620,64095211
2FP,,other perennial forbs,4,NA,14875621,64093627
ARFR4,Artemisia frigida,fringed sagewort,1,NA,14875621,64093848
BLTR,Blepharoneuron tricholepis,pine dropseed,10,NA,14875621,64093913
DAPA2,Danthonia parryi,Parry's danthonia,10,NA,14875621,64094307
FEAR2,Festuca arizonica,Arizona fescue,15,NA,14875621,64094391
JUCO6,Juniperus communis,common juniper,5,NA,14875621,64094517
KOCR,Koeleria cristata,prairie Junegrass,10,NA,14875621,64094563
MUMO,Muhlenbergia montana,mountain muhly,20,NA,14875621,64094652
PASM,Pascopyrum smithii,western wheatgrass,5,NA,14875621,64094802
QUGA,Quercus gambelii,Gambel's oak,5,NA,14875621,64094971
BOCU,Bouteloua curtipendula,sideoats grama,NA,5,14875638,64094015
KOCR,Koeleria cristata,prairie Junegrass,NA,5,14875638,64094564
NAVI4,Nassella viridula,green needlegrass,NA,10,14875638,64094690
PASM,Pascopyrum smithii,western wheatgrass,NA,50,14875638,64094805
BOCU,Bouteloua curtipendula,sideoats grama,NA,5,14875641,64094016
KOCR,Koeleria cristata,prairie Junegrass,NA,5,14875641,64094565
NAVI4,Nassella viridula,green needlegrass,NA,10,14875641,64094691
PASM,Pascopyrum smithii,western wheatgrass,NA,50,14875641,64094794
2FP,,other perennial forbs,NA,5,14875643,64093616
2GP,,other perennial grasses,NA,5,14875643,64093638
2SD,,other  shrubs,NA,5,14875643,64093654
BLTR,Blepharoneuron tricholepis,pine dropseed,NA,5,14875643,64093918
BOCU,Bouteloua curtipendula,sideoats grama,NA,5,14875643,64094005
CEMO2,Cercocarpus montanus,true mountain mahogany,NA,10,14875643,64094286
MUMO,Muhlenbergia montana,mountain muhly,NA,40,14875643,64094644
QUGA,Quercus gambelii,Gambel's oak,NA,5,14875643,64094967
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875643,64095047
2SD,,other  shrubs,10,NA,14875644,64093655
ARUV,Arctostaphylos uva-ursi,kinnikinnick,65,NA,14875644,64093868
BLTR,Blepharoneuron tricholepis,pine dropseed,5,NA,14875644,64093919
CAGE2,Carex geyeri,elk sedge,10,NA,14875644,64094166
MUMO,Muhlenbergia montana,mountain muhly,5,NA,14875644,64094645
SCSC,Schizachyrium scoparium,little bluestem,5,NA,14875644,64095048
ATCA2,Atriplex canescens,fourwing saltbush,NA,5,14875648,64093877
BOGR2,Bouteloua gracilis,blue grama,NA,10,14875648,64094118
PASM,Pascopyrum smithii,western wheatgrass,NA,15,14875648,64094795
PLJA,Pleuraphis jamesii,galleta,NA,5,14875648,64094906
SAVE4,Sarcobatus vermiculatus,greasewood,NA,2,14875648,64094977
SPAI,Sporobolus airoides,alkali sacaton,NA,40,14875648,64095096
ARDR4,Artemisia dracunculus,wormwood,NA,1,14875651,64093783
BOCU,Bouteloua curtipendula,sideoats grama,NA,10,14875651,64094006
CHRYS9,Chrysothamnus,rabbitbrush,NA,1,14875651,64094292
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875651,64094476
KRLA2,Krascheninnikovia lanata,winterfat,NA,5,14875651,64094606
MUWR,Muhlenbergia wrightii,spike muhly,NA,5,14875651,64094668
NAVI4,Nassella viridula,green needlegrass,NA,5,14875651,64094692
PASM,Pascopyrum smithii,western wheatgrass,NA,25,14875651,64094796
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875651,64095049
BOCU,Bouteloua curtipendula,sideoats grama,NA,5,14875658,64093999
BOGR2,Bouteloua gracilis,blue grama,NA,40,14875658,64094110
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,5,14875658,64094479
KOMA,Koeleria macrantha,prairie Junegrass,NA,2,14875658,64094586
KRASC,Krascheninnikovia,winterfat,NA,5,14875658,64094598
NAVI4,Nassella viridula,green needlegrass,NA,3,14875658,64094693
PASM,Pascopyrum smithii,western wheatgrass,NA,15,14875658,64094799
PLJA,Pleuraphis jamesii,galleta,NA,10,14875658,64094907
SPCR,Sporobolus cryptandrus,sand dropseed,NA,7,14875658,64095185
BOCU,Bouteloua curtipendula,sideoats grama,NA,5,14875665,64094000
BOGR2,Bouteloua gracilis,blue grama,NA,40,14875665,64094103
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,5,14875665,64094480
KOMA,Koeleria macrantha,prairie Junegrass,NA,2,14875665,64094587
KRASC,Krascheninnikovia,winterfat,NA,5,14875665,64094599
NAVI4,Nassella viridula,green needlegrass,NA,3,14875665,64094685
PASM,Pascopyrum smithii,western wheatgrass,NA,15,14875665,64094792
PLJA,Pleuraphis jamesii,galleta,NA,10,14875665,64094908
SPCR,Sporobolus cryptandrus,sand dropseed,NA,7,14875665,64095175
ATCA2,Atriplex canescens,fourwing saltbush,NA,5,14875668,64093906
BOCU,Bouteloua curtipendula,sideoats grama,NA,10,14875668,64094001
BOGR2,Bouteloua gracilis,blue grama,NA,15,14875668,64094104
KRLA2,Krascheninnikovia lanata,winterfat,NA,5,14875668,64094610
PASM,Pascopyrum smithii,western wheatgrass,NA,15,14875668,64094793
PLJA,Pleuraphis jamesii,galleta,NA,10,14875668,64094909
SPAI,Sporobolus airoides,alkali sacaton,NA,25,14875668,64095103
2FP,,other perennial forbs,NA,5,14875673,64093617
2GP,,other perennial grasses,NA,8,14875673,64093639
2SD,,other  shrubs,NA,3,14875673,64093660
BOCU,Bouteloua curtipendula,sideoats grama,NA,8,14875673,64094003
CALO,Calamovilfa longifolia,prairie sandreed,NA,3,14875673,64094248
ERIOG,Eriogonum,Eriogonum,NA,2,14875673,64094361
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,5,14875673,64094481
KOCR,Koeleria cristata,prairie Junegrass,NA,10,14875673,64094567
SCSC,Schizachyrium scoparium,little bluestem,NA,5,14875673,64095043
SPCR,Sporobolus cryptandrus,sand dropseed,NA,3,14875673,64095176
YUGL,Yucca glauca,soapweed yucca,NA,1,14875673,64095234
2GP,,other perennial grasses,NA,10,14875674,64093640
2SD,,other  shrubs,NA,5,14875674,64093661
ANHA,Andropogon hallii,sand bluestem,NA,5,14875674,64093753
BOCU,Bouteloua curtipendula,sideoats grama,NA,10,14875674,64094004
CAFI,Carex filifolia,threadleaf sedge,NA,5,14875674,64094162
CALO,Calamovilfa longifolia,prairie sandreed,NA,10,14875674,64094237
HECOC8,Hesperostipa comata ssp. comata,needleandthread,NA,10,14875674,64094470
SCSC,Schizachyrium scoparium,little bluestem,NA,5,14875674,64095044
2FP,,other perennial forbs,NA,3,14875684,64093620
2GP,,other perennial grasses,NA,3,14875684,64093643
ACHY,Achnatherum hymenoides,Indian ricegrass,NA,5,14875684,64093670
ATCA2,Atriplex canescens,fourwing saltbush,NA,5,14875684,64093907
NAVI4,Nassella viridula,green needlegrass,NA,10,14875684,64094687
PASM,Pascopyrum smithii,western wheatgrass,NA,25,14875684,64094786
CERCO,Cercocarpus,mountain mahogany,NA,5,14875694,64094289
DAPA2,Danthonia parryi,Parry's danthonia,NA,10,14875694,64094308
FEAR2,Festuca arizonica,Arizona fescue,NA,25,14875694,64094383
JUSC2,Juniperus scopulorum,Rocky Mountain juniper,NA,3,14875694,64094524
KOCR,Koeleria cristata,prairie Junegrass,NA,5,14875694,64094558
MUMO,Muhlenbergia montana,mountain muhly,NA,10,14875694,64094647
PASM,Pascopyrum smithii,western wheatgrass,NA,5,14875694,64094777
PIED,Pinus edulis,twoneedle pinyon,NA,2,14875694,64094871
PIPO,Pinus ponderosa,ponderosa pine,NA,2,14875694,64094878
POA,Poa,bluegrass,NA,5,14875694,64094929
ARFR4,Artemisia frigida,fringed sagewort,NA,5,14875697,64093851
BOCU,Bouteloua curtipendula,sideoats grama,NA,10,14875697,64093988
CEMO2,Cercocarpus montanus,true mountain mahogany,NA,20,14875697,64094287
JUMO,Juniperus monosperma,oneseed juniper,NA,5,14875697,64094518
KOCR,Koeleria cristata,prairie Junegrass,NA,5,14875697,64094559
PIED,Pinus edulis,twoneedle pinyon,NA,5,14875697,64094872
POA,Poa,bluegrass,NA,5,14875697,64094930
SCSC,Schizachyrium scoparium,little bluestem,NA,10,14875697,64095040
STIPA,Stipa,needlegrass,NA,10,14875697,64095212
ACHY,Achnatherum hymenoides,Indian ricegrass,NA,3,14875698,64093671
ATCA2,Atriplex canescens,fourwing saltbush,NA,4,14875698,64093896
BOCU,Bouteloua curtipendula,sideoats grama,NA,1,14875698,64093989
HENE5,Hesperostipa neomexicana,New Mexico Feathergrass,NA,2,14875698,64094515
KRLA2,Krascheninnikovia lanata,winterfat,NA,10,14875698,64094611
PASM,Pascopyrum smithii,western wheatgrass,NA,5,14875698,64094778
PLJA,Pleuraphis jamesii,galleta,NA,10,14875698,64094910
SPCR,Sporobolus cryptandrus,sand dropseed,NA,5,14875698,64095169
ATCA2,Atriplex canescens,fourwing saltbush,NA,5,14875727,64093897
PASM,Pascopyrum smithii,western wheatgrass,NA,20,14875727,64094766
PLJA,Pleuraphis jamesii,galleta,NA,10,14875727,64094899
ERNAN5,Ericameria nauseosa ssp. nauseosa var. nauseosa,Ericameria nauseosa ssp. nauseosa var. nauseosa,NA,5,14875730,64094365
GUSA2,Gutierrezia sarothrae,broom snakeweed,NA,5,14875730,64094394
NAVI4,Nassella viridula,green needlegrass,NA,10,14875730,64094688
PASM,Pascopyrum smithii,western wheatgrass,NA,40,14875730,64094767
ATCA2,Atriplex canescens,fourwing saltbush,NA,5,14875732,64093898
BOGR2,Bouteloua gracilis,blue grama,NA,15,14875732,64094090
PAOB,Panicum obtusum,vine mesquite,NA,5,14875732,64094699
PASM,Pascopyrum smithii,western wheatgrass,NA,20,14875732,64094768
PLJA,Pleuraphis jamesii,galleta,NA,15,14875732,64094900
SPAI,Sporobolus airoides,alkali sacaton,NA,30,14875732,64095104
