tabphyname,colsequence,colphyname,collogname,collabel,logicaldatatype,notnull,fieldsize,precision,minimum,maximum,uom,domainname,coldesc
chorizon,8,hzdept_h,horizon_depth_to_top_h,Top Depth - High Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the top of the soil to the upper boundary of the soil horizon.
chorizon,9,hzdepb_l,horizon_depth_to_bottom_l,Bottom Depth - Low Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the top of the soil to the base of the soil horizon.
chorizon,10,hzdepb_r,horizon_depth_to_bottom_r,Bottom Depth - Representative Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the top of the soil to the base of the soil horizon.
chorizon,11,hzdepb_h,horizon_depth_to_bottom_h,Bottom Depth - High Value,Integer,No,NA,NA,0,9999,centimeters,,The distance from the top of the soil to the base of the soil horizon.
chorizon,12,hzthk_l,horizon_thickness_l,Thickness - Low Value,Integer,No,NA,NA,0,9999,centimeters,,A measurement from the top to bottom of a soil horizon throughout its areal extent.
chorizon,13,hzthk_r,horizon_thickness_r,Thickness - Representative Value,Integer,No,NA,NA,0,9999,centimeters,,A measurement from the top to bottom of a soil horizon throughout its areal extent.
chorizon,14,hzthk_h,horizon_thickness_h,Thickness - High Value,Integer,No,NA,NA,0,9999,centimeters,,A measurement from the top to bottom of a soil horizon throughout its areal extent.
chorizon,15,fraggt10_l,rock_frag_greater_than_10_in_l,Rock >10 - Low Value,Integer,No,NA,NA,0,100,percent,,The percent by weight of the horizon occupied by rock fragments greater than 10 inches in size.
chorizon,16,fraggt10_r,rock_frag_greater_than_10_in_r,Rock >10 - Representative Value,Integer,No,NA,NA,0,100,percent,,The percent by weight of the horizon occupied by rock fragments greater than 10 inches in size.
chorizon,17,fraggt10_h,rock_frag_greater_than_10_in_h,Rock >10 - High Value,Integer,No,NA,NA,0,100,percent,,The percent by weight of the horizon occupied by rock fragments greater than 10 inches in size.
chorizon,18,frag3to10_l,rock_frag_3_to_10_in_l,Rock 3-10 - Low Value,Integer,No,NA,NA,0,100,percent,,The percent by weight of the horizon occupied by rock fragments 3 to 10 inches in size.
chorizon,19,frag3to10_r,rock_frag_3_to_10_in_r,Rock 3-10 - Representative Value,Integer,No,NA,NA,0,100,percent,,The percent by weight of the horizon occupied by rock fragments 3 to 10 inches in size.
chorizon,20,frag3to10_h,rock_frag_3_to_10_in_h,Rock 3-10 - High Value,Integer,No,NA,NA,0,100,percent,,The percent by weight of the horizon occupied by rock fragments 3 to 10 inches in size.
chorizon,21,sieveno4_l,sieve_number_4_l,#4 - Low Value,Float,No,NA,1,0,100,percent,,Soil fraction passing a number 4 sieve (4.70mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.
chorizon,22,sieveno4_r,sieve_number_4_r,#4 - Representative Value,Float,No,NA,1,0,100,percent,,Soil fraction passing a number 4 sieve (4.70mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.
chorizon,23,sieveno4_h,sieve_number_4_h,#4 - High Value,Float,No,NA,1,0,100,percent,,Soil fraction passing a number 4 sieve (4.70mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.
chorizon,24,sieveno10_l,sieve_number_10_l,#10 - Low Value,Float,No,NA,1,0,100,percent,,Soil fraction passing a number 10 sieve (2.00mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.
chorizon,25,sieveno10_r,sieve_number_10_r,#10 - Representative Value,Float,No,NA,1,0,100,percent,,Soil fraction passing a number 10 sieve (2.00mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.
chorizon,26,sieveno10_h,sieve_number_10_h,#10 - High Value,Float,No,NA,1,0,100,percent,,Soil fraction passing a number 10 sieve (2.00mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.
chorizon,27,sieveno40_l,sieve_number_40_l,#40 - Low Value,Float,No,NA,1,0,100,percent,,Soil fraction passing a number 40 sieve (0.42mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.
chorizon,28,sieveno40_r,sieve_number_40_r,#40 - Representative Value,Float,No,NA,1,0,100,percent,,Soil fraction passing a number 40 sieve (0.42mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.
chorizon,29,sieveno40_h,sieve_number_40_h,#40 - High Value,Float,No,NA,1,0,100,percent,,Soil fraction passing a number 40 sieve (0.42mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.
chorizon,30,sieveno200_l,sieve_number_200_l,#200 - Low Value,Float,No,NA,1,0,100,percent,,Soil fraction passing a number 200 sieve (0.074mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.
chorizon,31,sieveno200_r,sieve_number_200_r,#200 - Representative Value,Float,No,NA,1,0,100,percent,,Soil fraction passing a number 200 sieve (0.074mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.
chorizon,32,sieveno200_h,sieve_number_200_h,#200 - High Value,Float,No,NA,1,0,100,percent,,Soil fraction passing a number 200 sieve (0.074mm square opening) as a weight percentage of the less than 3 inch (76.4mm) fraction.
chorizon,33,sandtotal_l,sand_total_separate_l,Total Sand - Low Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.05mm to 2.0mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,34,sandtotal_r,sand_total_separate_r,Total Sand - Representative Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.05mm to 2.0mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,35,sandtotal_h,sand_total_separate_h,Total Sand - High Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.05mm to 2.0mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,36,sandvc_l,sand_very_coarse_separate_l,vcos - Low Value,Float,No,NA,1,0,100,percent,,Mineral particles 1.0mm to 2.0mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,37,sandvc_r,sand_very_coarse_separate_r,vcos - Representative Value,Float,No,NA,1,0,100,percent,,Mineral particles 1.0mm to 2.0mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,38,sandvc_h,sand_very_coarse_separate_h,vcos - High Value,Float,No,NA,1,0,100,percent,,Mineral particles 1.0mm to 2.0mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,39,sandco_l,sand_coarse_separate_l,cos - Low Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.5mm to 1.0mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,40,sandco_r,sand_coarse_separate_r,cos - Representative Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.5mm to 1.0mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,41,sandco_h,sand_coarse_separate_h,cos - High Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.5mm to 1.0mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,42,sandmed_l,sand_medium_separate_l,ms - Low Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.25mm to 0.5mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,43,sandmed_r,sand_medium_separate_r,ms - Representative Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.25mm to 0.5mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,44,sandmed_h,sand_medium_separate_h,ms - High Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.25mm to 0.5mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,45,sandfine_l,sand_fine_separate_l,fs - Low Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.10 to 0.25mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,46,sandfine_r,sand_fine_separate_r,fs - Representative Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.10 to 0.25mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,47,sandfine_h,sand_fine_separate_h,fs - High Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.10 to 0.25mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,48,sandvf_l,sand_very_fine_separate_l,vfs - Low Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.05 to 0.10mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,49,sandvf_r,sand_very_fine_separate_r,vfs - Representative Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.05 to 0.10mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,50,sandvf_h,sand_very_fine_separate_h,vfs - High Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.05 to 0.10mm in equivalent diameter as a weight percentage of the less than 2 mm fraction.
chorizon,51,silttotal_l,silt_total_separate_l,Total Silt - Low Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.002 to 0.05mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,52,silttotal_r,silt_total_separate_r,Total Silt - Representative Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.002 to 0.05mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,53,silttotal_h,silt_total_separate_h,Total Silt - High Value,Float,No,NA,1,0,100,percent,,Mineral particles 0.002 to 0.05mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,54,siltco_l,silt_coarse_separate_l,Coarse Silt - Low Value,Float,No,NA,1,0,100,percent,,Mineral particles ranging in size from 0.02mm to 0.05mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,55,siltco_r,silt_coarse_separate_r,Coarse Silt - Representative Value,Float,No,NA,1,0,100,percent,,Mineral particles ranging in size from 0.02mm to 0.05mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,56,siltco_h,silt_coarse_separate_h,Coarse Silt - High Value,Float,No,NA,1,0,100,percent,,Mineral particles ranging in size from 0.02mm to 0.05mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,57,siltfine_l,silt_fine_separate_l,Fine Silt - Low Value,Float,No,NA,1,0,100,percent,,Mineral particles ranging in size from 0.002 to 0.02mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,58,siltfine_r,silt_fine_separate_r,Fine Silt - Representative Value,Float,No,NA,1,0,100,percent,,Mineral particles ranging in size from 0.002 to 0.02mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,59,siltfine_h,silt_fine_separate_h,Fine Silt - High Value,Float,No,NA,1,0,100,percent,,Mineral particles ranging in size from 0.002 to 0.02mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,60,claytotal_l,clay_total_separate_l,Total Clay - Low Value,Float,No,NA,1,0,100,percent,,Mineral particles less than 0.002mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,61,claytotal_r,clay_total_separate_r,Total Clay - Representative Value,Float,No,NA,1,0,100,percent,,Mineral particles less than 0.002mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,62,claytotal_h,clay_total_separate_h,Total Clay - High Value,Float,No,NA,1,0,100,percent,,Mineral particles less than 0.002mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,63,claysizedcarb_l,clay_sized_carbonate_l,CaCO3 Clay - Low Value,Float,No,NA,1,0,100,percent,,Carbonate particles less than 0.002mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,64,claysizedcarb_r,clay_sized_carbonate_r,CaCO3 Clay - Representative Value,Float,No,NA,1,0,100,percent,,Carbonate particles less than 0.002mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,65,claysizedcarb_h,clay_sized_carbonate_h,CaCO3 Clay - High Value,Float,No,NA,1,0,100,percent,,Carbonate particles less than 0.002mm in equivalent diameter as a weight percentage of the less than 2.0mm fraction.
chorizon,66,om_l,organic_matter_percent_l,OM - Low Value,Float,No,NA,2,0,100,percent,,The amount by weight of decomposed plant and animal residue expressed as a weight percentage of the less than 2 mm soil material.
chorizon,67,om_r,organic_matter_percent_r,OM - Representative Value,Float,No,NA,2,0,100,percent,,The amount by weight of decomposed plant and animal residue expressed as a weight percentage of the less than 2 mm soil material.
chorizon,68,om_h,organic_matter_percent_h,OM - High Value,Float,No,NA,2,0,100,percent,,The amount by weight of decomposed plant and animal residue expressed as a weight percentage of the less than 2 mm soil material.
chorizon,69,dbtenthbar_l,bulk_density_one_tenth_bar_l,Db 0.1 bar H2O - Low Value,Float,No,NA,2,0.02,2.6,grams per cubic centimeter,,The oven dried weight of the less than 2 mm soil material per unit volume of soil at a water tension of 1/10 bar.
chorizon,70,dbtenthbar_r,bulk_density_one_tenth_bar_r,Db 0.1 bar H2O - Representative Value,Float,No,NA,2,0.02,2.6,grams per cubic centimeter,,The oven dried weight of the less than 2 mm soil material per unit volume of soil at a water tension of 1/10 bar.
chorizon,71,dbtenthbar_h,bulk_density_one_tenth_bar_h,Db 0.1 bar H2O - High Value,Float,No,NA,2,0.02,2.6,grams per cubic centimeter,,The oven dried weight of the less than 2 mm soil material per unit volume of soil at a water tension of 1/10 bar.
chorizon,72,dbthirdbar_l,bulk_density_one_third_bar_l,Db 0.33 bar H2O - Low Value,Float,No,NA,2,0.02,2.6,grams per cubic centimeter,,The oven dry weight of the less than 2 mm soil material per unit volume of soil at a water tension of 1/3 bar.
chorizon,73,dbthirdbar_r,bulk_density_one_third_bar_r,Db 0.33 bar H2O - Representative Value,Float,No,NA,2,0.02,2.6,grams per cubic centimeter,,The oven dry weight of the less than 2 mm soil material per unit volume of soil at a water tension of 1/3 bar.
chorizon,74,dbthirdbar_h,bulk_density_one_third_bar_h,Db 0.33 bar H2O - High Value,Float,No,NA,2,0.02,2.6,grams per cubic centimeter,,The oven dry weight of the less than 2 mm soil material per unit volume of soil at a water tension of 1/3 bar.
chorizon,75,dbfifteenbar_l,bulk_density_fifteen_bar_l,Db 15 bar H2O - Low Value,Float,No,NA,2,0.02,2.6,grams per cubic centimeter,,The oven dry weight of the less than 2 mm soil material per unit volume of soil at a water tension of 15 bar.
chorizon,76,dbfifteenbar_r,bulk_density_fifteen_bar_r,Db 15 bar H2O - Representative Value,Float,No,NA,2,0.02,2.6,grams per cubic centimeter,,The oven dry weight of the less than 2 mm soil material per unit volume of soil at a water tension of 15 bar.
chorizon,77,dbfifteenbar_h,bulk_density_fifteen_bar_h,Db 15 bar H2O - High Value,Float,No,NA,2,0.02,2.6,grams per cubic centimeter,,The oven dry weight of the less than 2 mm soil material per unit volume of soil at a water tension of 15 bar.
chorizon,78,dbovendry_l,bulk_density_oven_dry_l,Db oven dry - Low Value,Float,No,NA,2,0.02,2.6,grams per cubic centimeter,,"The oven dry weight of the less than 2 mm soil material per unit volume of soil exclusive of the desiccation cracks, measured on a coated clod."
chorizon,79,dbovendry_r,bulk_density_oven_dry_r,Db oven dry - Representative Value,Float,No,NA,2,0.02,2.6,grams per cubic centimeter,,"The oven dry weight of the less than 2 mm soil material per unit volume of soil exclusive of the desiccation cracks, measured on a coated clod."
chorizon,80,dbovendry_h,bulk_density_oven_dry_h,Db oven dry - High Value,Float,No,NA,2,0.02,2.6,grams per cubic centimeter,,"The oven dry weight of the less than 2 mm soil material per unit volume of soil exclusive of the desiccation cracks, measured on a coated clod."
chorizon,81,partdensity,particle_density,Dp,Float,No,NA,2,0.01,5,grams per cubic centimeter,,Mass per unit of volume (not including pore space) of the solid soil particle either mineral or organic.  Also known as specific gravity.
chorizon,82,ksat_l,sat_hydraulic_conductivity_l,Ksat - Low Value,Float,No,NA,4,0,705,micrometers per second,,The amount of water that would move vertically through a unit area of saturated soil in unit time under unit hydraulic gradient.
chorizon,83,ksat_r,sat_hydraulic_conductivity_r,Ksat - Representative Value,Float,No,NA,4,0,705,micrometers per second,,The amount of water that would move vertically through a unit area of saturated soil in unit time under unit hydraulic gradient.
chorizon,84,ksat_h,sat_hydraulic_conductivity_h,Ksat - High Value,Float,No,NA,4,0,705,micrometers per second,,The amount of water that would move vertically through a unit area of saturated soil in unit time under unit hydraulic gradient.
chorizon,85,awc_l,available_water_capacity_l,AWC - Low Value,Float,No,NA,2,0,0.7,centimeters per centimeter,,"The amount of water that an increment of soil depth, inclusive of fragments, can store that is available to plants.  AWC is expressed as a volume fraction, and is commonly estimated as the difference between the water contents at 1/10 or 1/3 bar (field capacity) and 15 bars (permanent wilting point) tension and adjusted for salinity, and fragments."
chorizon,86,awc_r,available_water_capacity_r,AWC - Representative Value,Float,No,NA,2,0,0.7,centimeters per centimeter,,"The amount of water that an increment of soil depth, inclusive of fragments, can store that is available to plants.  AWC is expressed as a volume fraction, and is commonly estimated as the difference between the water contents at 1/10 or 1/3 bar (field capacity) and 15 bars (permanent wilting point) tension and adjusted for salinity, and fragments."
chorizon,87,awc_h,available_water_capacity_h,AWC - High Value,Float,No,NA,2,0,0.7,centimeters per centimeter,,"The amount of water that an increment of soil depth, inclusive of fragments, can store that is available to plants.  AWC is expressed as a volume fraction, and is commonly estimated as the difference between the water contents at 1/10 or 1/3 bar (field capacity) and 15 bars (permanent wilting point) tension and adjusted for salinity, and fragments."
chorizon,88,wtenthbar_l,water_one_tenth_bar_l,0.1 bar H2O - Low Value,Float,No,NA,1,0,2e3,percent,,"The volumetric content of soil water retained at a tension of 1/10 bar (10 kPa), expressed as a percentage of the whole soil."
chorizon,89,wtenthbar_r,water_one_tenth_bar_r,0.1 bar H2O - Representative Value,Float,No,NA,1,0,2e3,percent,,"The volumetric content of soil water retained at a tension of 1/10 bar (10 kPa), expressed as a percentage of the whole soil."
chorizon,90,wtenthbar_h,water_one_tenth_bar_h,0.1 bar H2O - High Value,Float,No,NA,1,0,2e3,percent,,"The volumetric content of soil water retained at a tension of 1/10 bar (10 kPa), expressed as a percentage of the whole soil."
chorizon,91,wthirdbar_l,water_one_third_bar_l,0.33 bar H2O - Low Value,Float,No,NA,1,0,2e3,percent,,"The volumetric content of soil water retained at a tension of 1/3 bar (33 kPa), expressed as a percentage of the whole soil."
chorizon,92,wthirdbar_r,water_one_third_bar_r,0.33 bar H2O - Representative Value,Float,No,NA,1,0,2e3,percent,,"The volumetric content of soil water retained at a tension of 1/3 bar (33 kPa), expressed as a percentage of the whole soil."
chorizon,93,wthirdbar_h,water_one_third_bar_h,0.33 bar H2O - High Value,Float,No,NA,1,0,2e3,percent,,"The volumetric content of soil water retained at a tension of 1/3 bar (33 kPa), expressed as a percentage of the whole soil."
chorizon,94,wfifteenbar_l,water_fifteen_bar_l,15 bar H2O - Low Value,Float,No,NA,1,0,400,percent,,"The volumetric content of soil water retained at a tension of 15 bars (1500 kPa), expressed as a percentage of the whole soil."
chorizon,95,wfifteenbar_r,water_fifteen_bar_r,15 bar H2O - Representative Value,Float,No,NA,1,0,400,percent,,"The volumetric content of soil water retained at a tension of 15 bars (1500 kPa), expressed as a percentage of the whole soil."
chorizon,96,wfifteenbar_h,water_fifteen_bar_h,15 bar H2O - High Value,Float,No,NA,1,0,400,percent,,"The volumetric content of soil water retained at a tension of 15 bars (1500 kPa), expressed as a percentage of the whole soil."
chorizon,97,wsatiated_l,water_satiated_l,Satiated H2O - Low Value,Integer,No,NA,NA,10,70,percent,,"The estimated volumetric soil water content at or near zero bar tension, expressed as a percentage of the whole soil."
chorizon,98,wsatiated_r,water_satiated_r,Satiated H2O - Representative Value,Integer,No,NA,NA,10,70,percent,,"The estimated volumetric soil water content at or near zero bar tension, expressed as a percentage of the whole soil."
chorizon,99,wsatiated_h,water_satiated_h,Satiated H2O - High Value,Integer,No,NA,NA,10,70,percent,,"The estimated volumetric soil water content at or near zero bar tension, expressed as a percentage of the whole soil."
chorizon,100,lep_l,linear_extensibility_percent_l,LEP - Low Value,Float,No,NA,1,0,30,percent,,The linear expression of the volume difference of natural soil fabric at 1/3 or 1/10 bar water content and oven dryness. The volume change is reported as percent change for the whole soil.
chorizon,101,lep_r,linear_extensibility_percent_r,LEP - Representative Value,Float,No,NA,1,0,30,percent,,The linear expression of the volume difference of natural soil fabric at 1/3 or 1/10 bar water content and oven dryness. The volume change is reported as percent change for the whole soil.
chorizon,102,lep_h,linear_extensibility_percent_h,LEP - High Value,Float,No,NA,1,0,30,percent,,The linear expression of the volume difference of natural soil fabric at 1/3 or 1/10 bar water content and oven dryness. The volume change is reported as percent change for the whole soil.
