plantsym,plantsciname,plantcomname,siteindexbase,siteindex.l,siteindex.r,siteindex.h,fprod.l,fprod.r,fprod.h,cokey,cofprodkey
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,NA,NA,NA,NA,NA,15697476,21932249
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,32,NA,15697476,21932250
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697476,21932251
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697476,21932252
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,45,NA,NA,32,NA,15697477,21932253
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,NA,NA,NA,NA,NA,15697477,21932254
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697477,21932255
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,45,NA,NA,32,NA,15697478,21932256
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,NA,NA,NA,NA,NA,15697478,21932257
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,NA,NA,NA,NA,NA,15697478,21932258
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,32,NA,15697478,21932259
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697478,21932260
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697478,21932261
PSMEG,Pseudotsuga menziesii var. glauca,Rocky Mountain Douglas-fir,NA,NA,45,NA,NA,32,NA,15697479,21932262
ARUV,Arctostaphylos uva-ursi,kinnikinnick,NA,NA,NA,NA,NA,NA,NA,15697479,21932263
PIPO,Pinus ponderosa,ponderosa pine,NA,NA,NA,NA,NA,NA,NA,15697479,21932264
QUGA,Quercus gambelii,Gambel oak,NA,NA,NA,NA,NA,32,NA,15697479,21932265
POTR5,Populus tremuloides,quaking aspen,NA,NA,NA,NA,NA,NA,NA,15697479,21932266
CERCO,Cercocarpus,mountain mahogany,NA,NA,NA,NA,NA,NA,NA,15697479,21932267
