reskind,reshard,resdept.l,resdept.r,resdept.h,resdepb.l,resdepb.r,resdepb.h,resthk.l,resthk.r,resthk.h,cokey,corestrictkey
Paralithic bedrock,Weakly cemented,25,33,51,NA,NA,NA,NA,NA,NA,15697484,4236099
Paralithic bedrock,Weakly cemented,25,33,51,NA,NA,NA,NA,NA,NA,15697485,4236100
Paralithic bedrock,Weakly cemented,102,107,152,NA,NA,NA,NA,NA,NA,15697486,4236101
Paralithic bedrock,Weakly cemented,102,107,152,NA,NA,NA,NA,NA,NA,15697496,4236111
Paralithic bedrock,Weakly cemented,25,33,51,NA,NA,NA,NA,NA,NA,15697497,4236112
Paralithic bedrock,Weakly cemented,25,33,51,NA,NA,NA,NA,NA,NA,15697498,4236113
Paralithic bedrock,Weakly cemented,102,117,152,NA,NA,NA,NA,NA,NA,15697499,4236114
Lithic bedrock,Indurated,0,0,0,NA,NA,NA,NA,NA,NA,15697500,4236115
Paralithic bedrock,Weakly cemented,25,45,51,51,89,102,NA,NA,NA,15697501,4236116
Lithic bedrock,Indurated,51,89,102,NA,NA,NA,NA,NA,NA,15697501,4236117
Lithic bedrock,Indurated,110,125,152,NA,NA,NA,NA,NA,NA,15697502,4236118
Paralithic bedrock,Weakly cemented,100,110,140,102,135,152,NA,NA,NA,15697502,4236119
Lithic bedrock,Indurated,0,0,0,NA,NA,NA,NA,NA,NA,15697503,4236120
Lithic bedrock,Indurated,25,25,51,NA,NA,NA,NA,NA,NA,15697504,4236121
Lithic bedrock,Indurated,54,89,102,NA,99,NA,NA,NA,NA,15697505,4236122
Paralithic bedrock,Moderately cemented,51,53,89,54,89,102,NA,NA,NA,15697505,4236123
Paralithic bedrock,Weakly cemented,25,33,51,NA,NA,NA,NA,NA,NA,15697524,4236137
Lithic bedrock,Indurated,0,0,0,NA,NA,NA,NA,NA,NA,15697525,4236138
Paralithic bedrock,Weakly cemented,102,107,152,NA,NA,NA,NA,NA,NA,15697526,4236139
Paralithic bedrock,Weakly cemented,25,33,51,NA,NA,NA,NA,NA,NA,15697527,4236140
