soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
0,0,0,183,183,183,Wet,156227079,95890871
0,0,0,183,183,183,Wet,156227082,95890872
0,0,0,183,183,183,Wet,156227084,95890873
0,0,0,183,183,183,Wet,156227085,95890874
0,0,0,183,183,183,Wet,156227086,95890875
0,0,0,183,183,183,Wet,156227089,95890876
0,0,0,183,183,183,Wet,156227090,95890877
0,0,0,183,183,183,Wet,156227091,95890878
0,0,0,183,183,183,Wet,156227094,95890879
0,0,0,183,183,183,Wet,156227096,95890880
0,0,0,183,183,183,Wet,156227097,95890881
0,0,0,183,183,183,Wet,156227098,95890882
0,0,0,183,183,183,Wet,156227101,95890883
0,0,0,183,183,183,Wet,156227102,95890884
0,0,0,183,183,183,Wet,156227103,95890885
0,0,15,183,183,183,Wet,156227190,95890896
0,0,15,183,183,183,Wet,156227192,95890897
0,0,15,183,183,183,Wet,156227193,95890898
0,0,15,183,183,183,Wet,156227194,95890899
0,0,15,183,183,183,Wet,156227197,95890900
0,0,15,183,183,183,Wet,156227198,95890901
0,0,15,183,183,183,Wet,156227199,95890902
0,0,0,183,183,183,Wet,156227214,95890903
0,0,0,183,183,183,Wet,156227216,95890904
0,0,0,183,183,183,Wet,156227217,95890905
0,0,0,183,183,183,Wet,156227218,95890906
0,0,0,183,183,183,Wet,156227221,95890907
0,0,0,183,183,183,Wet,156227222,95890908
0,0,0,183,183,183,Wet,156227223,95890909
0,0,0,183,183,183,Wet,156227226,95890910
0,0,0,183,183,183,Wet,156227228,95890911
0,0,0,183,183,183,Wet,156227229,95890912
0,0,0,183,183,183,Wet,156227230,95890913
0,0,0,183,183,183,Wet,156227233,95890914
0,0,0,183,183,183,Wet,156227234,95890915
0,0,0,183,183,183,Wet,156227235,95890916
0,0,0,183,183,183,Wet,156227238,95890917
0,0,0,183,183,183,Wet,156227240,95890918
0,0,0,183,183,183,Wet,156227241,95890919
0,0,0,183,183,183,Wet,156227242,95890920
0,0,0,183,183,183,Wet,156227245,95890921
0,0,0,183,183,183,Wet,156227246,95890922
0,0,0,183,183,183,Wet,156227247,95890923
0,0,0,183,183,183,Wet,156227250,95890924
0,0,0,183,183,183,Wet,156227252,95890925
0,0,0,183,183,183,Wet,156227253,95890926
0,0,0,183,183,183,Wet,156227254,95890927
0,0,0,183,183,183,Wet,156227257,95890928
0,0,0,183,183,183,Wet,156227258,95890929
0,0,0,183,183,183,Wet,156227259,95890930
