attributekey,attributename,attributetablename,attributecolumnname,attributelogicaldatatype,attributefieldsize,attributeprecision,attributedescription,attributeuom,attributeuomabbrev,attributetype,nasisrulename,ruledesign,notratedphrase,mapunitlevelattribflag,complevelattribflag,cmonthlevelattribflag,horzlevelattribflag,tiebreakdomainname,tiebreakruleoptionflag,tiebreaklowlabel,tiebreakhighlabel,tiebreakrule,resultcolumnname,sqlwhereclause,primaryconcolname,pcclogicaldatatype,primaryconstraintlabel,secondaryconcolname,scclogicaldatatype,secondaryconstraintlabel,dqmodeoptionflag,depthqualifiermode,layerdepthtotop,layerdepthtobottom,layerdepthuom,monthrangeoptionflag,beginningmonth,endingmonth,horzaggmeth,interpnullsaszerooptionflag,interpnullsaszeroflag,nullratingreplacementvalue,basicmodeflag,maplegendkey,maplegendclasses,maplegendxml,nasissiteid,wlupdated,algorithmname,componentpercentcutoff,readytodistribute,effectivelogicaldatatype
2685,National Commodity Crop Productivity Index v3,cointerp,interphrc,String,254,3,"National Commodity Crop Productivity Index is a method of arraying the soils of the United States for non-irrigated commodity crop production based on their inherent soil properties.  The rating a soil is assigned is the highest one of four basic crop group indices, which are based on the climate where the crop is typically grown.  Cooler climates are represented by winter wheat, moderate climates are represented by corn and soybeans, and warmer climates are represented by cotton.  (http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/nrcs142p2_050734.pdf)

The interpretation is applicable to both heavily populated and sparsely populated areas. Ratings are for soils in their present condition. The present land use is not considered in the ratings. 

Ratings are based on properties and qualities to the depth normally observed during soil mapping (approximately 6 feet).  Soil, site, and climate properties that influence the growth of crops are major considerations. Soil productivity is influenced by many soil properties.  An ideal soil will store adequate amounts of water to nurture the crop between rains.  This soil will have a near-neutral pH, will store nutrients, and lack toxic materials.  The soil will have no barriers, either physical or chemical, to root growth.  Water and gas transmission through the soil will be sufficient to maintain both water and oxygen at sufficient levels in the root zone.   The soil will not be saturated with water during the growing season to the point that root growth is inhibited.  The soil will not be subject to excessive flooding or ponding during the growing season.  Slope is an important consideration because it affects erosion by water, runoff, and the operation of equipment.  The climate must provide adequate water and heat to allow the desired crop to mature.  A soil that differs from the ideal in any of these features will have lower inherent productivity for a particular crop.  The further a soil differs from ideality in any one or all of the factors that determine inherent productivity, the lower its inherent productivity will be. 

The ratings are both verbal and numerical. Rating class terms indicate the estimated productivity which is determined by all of the soil, site, and climatic features that affect crop productivity. ""High inherent productivity"" indicates that the soil, site, and climate have features that are very favorable for crop production. High yields and low risk of crop failure can be expected if a high level of management is employed. ""Moderately high inherent productivity"" indicates that the soil has features that are generally quite favorable for crop production.  Good yields and moderately low risk of crop failure can be expected. ""Moderate inherent productivity"" indicates that the soil has features that are generally favorable for crop production.  Good yields and moderate risk of crop failure can be expected.  ""Moderately low inherent productivity"" indicates that the soil has features that are generally not favorable for crop production.  Low yields and moderately high risk of crop failure can be expected.   ""Low inherent productivity"" indicates that the soil has one or more features that are unfavorable for crop production.  Low yields and high risk of crop failure can be expected.  

Numerical ratings indicate the overall productivity of the soil. The ratings are shown in decimal fractions ranging from 1.00 to 0.01. They indicate gradations between the point at which the combination of soil, site, and climate features has the greatest positive impact on inherent productivity (1.00) and the point at which the soil features are very unfavorable (0.01). 

The map unit components listed for each map unit in the accompanying Summary by Map Unit table in Web Soil Survey or the Aggregation Report in Soil Data Viewer are determined by the aggregation method chosen. An aggregated rating class is shown for each map unit. The components listed for each map unit are only those that have the same rating class as listed for the map unit. The percent composition of each component in a particular map unit is presented to help the user better understand the percentage of each map unit that has the rating presented.  

Other components with different ratings may be present in each map unit. The ratings for all components, regardless of the map unit aggregated rating, can be viewed by generating the equivalent report from the Soil Reports tab in Web Soil Survey. Onsite investigation may be needed to validate these interpretations and to confirm the identity of the soil on a given site.",,,Interpretation,NCCPI - National Commodity Crop Productivity Index (Ver 3.0),2,,0,1,0,0,,0,,,1,NCCPI,,,,,,,,0,,NA,NA,,0,,,Weighted Average,0,0,,1,6,NA,"<Map_Legend maplegendkey=""6"">
  <ColorRampType type=""1"" name=""Progressive"" count=""3"">
    <LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" />
    <UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" />
    <LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" />
    <UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" />
    <LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" />
    <UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" />
  </ColorRampType>
  <Legend_Symbols shapeType=""polygon"">
    <Styles fillStyle=""esriSFSSolid"" />
    <Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" />
    <Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" />
  </Legend_Symbols>
  <Legend_Elements transparency=""0"">
    <Labels lower_value=""0.000"" upper_value=""0.200"" label=""Low inherent productivity"" order=""1"" />
    <Labels lower_value=""0.200"" upper_value=""0.400"" label=""Moderately low inherent productivity"" order=""2"" />
    <Labels lower_value=""0.400"" upper_value=""0.600"" label=""Moderate inherent productivity"" order=""3"" />
    <Labels lower_value=""0.600"" upper_value=""0.800"" label=""Moderately high inherent productivity"" order=""4"" />
    <Labels lower_value=""0.800"" upper_value=""1.000"" label=""High inherent productivity"" order=""5"" />
  </Legend_Elements>
</Map_Legend>",1,08/25/2017 17:32:48,Weighted Average,NA,1,Float
2688,National Commodity Crop Productivity Index,cointerp,interphrc,String,254,3,"The National Commodity Crop Productivity Index is a method of arraying the soils of the United States for non-irrigated commodity crop production based on their inherent soil properties.  The rating a soil is assigned is the highest one of four basic crop group indices, which are based on the climate where the crop is typically grown.  Cooler climates are represented by winter wheat, moderate climates are represented by corn and soybeans, and warmer climates are represented by cotton.  (http://www.nrcs.usda.gov/Internet/FSE_DOCUMENTS/nrcs142p2_050734.pdf)

The interpretation is applicable to both heavily populated and sparsely populated areas. Ratings are for soils in their present condition. The present land use is not considered in the ratings. 

Ratings are based on properties and qualities to the depth normally observed during soil mapping (approximately 6 feet).  Soil, site, and climate properties that influence the growth of crops are major considerations. Soil productivity is influenced by many soil properties.  An ideal soil will store adequate amounts of water to nurture the crop between rains.  This soil will have a near-neutral pH, will store nutrients, and lack toxic materials.  The soil will have no barriers, either physical or chemical, to root growth.  Water and gas transmission through the soil will be sufficient to maintain both water and oxygen at sufficient levels in the root zone.   The soil will not be saturated with water during the growing season to the point that root growth is inhibited.  The soil will not be subject to excessive flooding or ponding during the growing season.  Slope is an important consideration because it affects erosion by water, runoff, and the operation of equipment.  The climate must provide adequate water and heat to allow the desired crop to mature.  A soil that differs from the ideal in any of these features will have lower inherent productivity for a particular crop.  The further a soil differs from ideality in any one or all of the factors that determine inherent productivity, the lower its inherent productivity will be. 

The ratings are both verbal and numerical. Rating class terms indicate the estimated productivity which is determined by all of the soil, site, and climatic features that affect crop productivity. ""High inherent productivity"" indicates that the soil, site, and climate have features that are very favorable for crop production. High yields and low risk of crop failure can be expected if a high level of management is employed. ""Moderately high inherent productivity"" indicates that the soil has features that are generally quite favorable crop production.  Good yields and moderately low risk of crop failure can be expected. ""Moderate inherent productivity"" indicates that the soil has features that are generally favorable crop production.  Good yields and moderate risk of crop failure can be expected.  ""Moderately low inherent productivity"" indicates that the soil has features that are generally not favorable crop production.  Low yields and moderately high risk of crop failure can be expected.   ""Low inherent productivity"" indicates that the soil has one or more features that are unfavorable for crop production.  Low yields and high risk of crop failure can be expected.  

Numerical ratings indicate the overall productivity of the soil. The ratings are shown in decimal fractions ranging from 1.00 to 0.01. They indicate gradations between the point at which the combination of soil, site, and climate features has the greatest positive impact on inherent productivity (1.00) and the point at which the soil features are very unfavorable (0.01). 

The map unit components listed for each map unit in the accompanying Summary by Map Unit table in Web Soil Survey or the Aggregation Report in Soil Data Viewer are determined by the aggregation method chosen. An aggregated rating class is shown for each map unit. The components listed for each map unit are only those that have the same rating class as listed for the map unit. The percent composition of each component in a particular map unit is presented to help the user better understand the percentage of each map unit that has the rating presented.  

Other components with different ratings may be present in each map unit. The ratings for all components, regardless of the map unit aggregated rating, can be viewed by generating the equivalent report from the Soil Reports tab in Web Soil Survey. Onsite investigation may be needed to validate these interpretations and to confirm the identity of the soil on a given site.",,,Interpretation,NCCPI - National Commodity Crop Productivity Index (Ver 2.0),2,Not rated,0,1,0,0,,0,,,1,NCCPI,,,,,,,,0,,NA,NA,,0,,,Weighted Average,0,0,,1,6,NA,"<Map_Legend maplegendkey=""6"">
  <ColorRampType type=""1"" name=""Progressive"" count=""3"">
    <LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" />
    <UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" />
    <LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" />
    <UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" />
    <LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" />
    <UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" />
  </ColorRampType>
  <Legend_Symbols shapeType=""polygon"">
    <Styles fillStyle=""esriSFSSolid"" />
    <Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" />
    <Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" />
  </Legend_Symbols>
  <Legend_Elements transparency=""0"">
    <Labels lower_value=""0.000"" upper_value=""0.200"" label=""Low inherent productivity"" order=""1"" />
    <Labels lower_value=""0.200"" upper_value=""0.400"" label=""Moderately low inherent productivity"" order=""2"" />
    <Labels lower_value=""0.400"" upper_value=""0.600"" label=""Moderate inherent productivity"" order=""3"" />
    <Labels lower_value=""0.600"" upper_value=""0.800"" label=""Moderately high inherent productivity"" order=""4"" />
    <Labels lower_value=""0.800"" upper_value=""1.000"" label=""High inherent productivity"" order=""5"" />
  </Legend_Elements>
</Map_Legend>",1,08/24/2017 21:30:04,Weighted Average,NA,1,Float
4,Wind Erodibility Index,component,wei,Choice,254,NA,"The wind erodibility index is a numerical value indicating the susceptibility of soil to wind erosion, or the tons per acre per year that can be expected to be lost to wind erosion. There is a close correlation between wind erosion and the texture of the surface layer, the size and durability of surface clods, rock fragments, organic matter, and a calcareous reaction. Soil moisture and frozen soil layers also influence wind erosion.",tons per acre per year,tons/acre/yr,Property,,NA,,0,1,0,0,wind_erodibility_index,1,,,1,WEI,,,,,,,,0,,NA,NA,,0,,,Weighted Average,0,0,,1,7,NA,"<Map_Legend maplegendkey=""7""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0""><Labels value=""0"" label=""0"" order=""1"" /><Labels value=""38"" label=""38"" order=""2"" /><Labels value=""48"" label=""48"" order=""3"" /><Labels value=""56"" label=""56"" order=""4"" /><Labels value=""86"" label=""86"" order=""5"" /><Labels value=""134"" label=""134"" order=""6"" /><Labels value=""160"" label=""160"" order=""7"" /><Labels value=""180"" label=""180"" order=""8"" /><Labels value=""220"" label=""220"" order=""9"" /><Labels value=""250"" label=""250"" order=""10"" /><Labels value=""310"" label=""310"" order=""11"" /></Legend_Elements></Map_Legend>",1,03/04/2007 09:06:40,Dominant Condition,NA,1,Choice
19,"K Factor, Rock Free",chorizon,kffact,Choice,254,NA,"Erosion factor K indicates the susceptibility of a soil to sheet and rill erosion by water. Factor K is one of six factors used in the Universal Soil Loss Equation (USLE) and the Revised Universal Soil Loss Equation (RUSLE) to predict the average annual rate of soil loss by sheet and rill erosion in tons per acre per year. The estimates are based primarily on percentage of silt, sand, and organic matter and on soil structure and saturated hydraulic conductivity (Ksat). Values of K range from 0.02 to 0.69. Other factors being equal, the higher the value, the more susceptible the soil is to sheet and rill erosion by water.

""Erosion factor Kf (rock free)"" indicates the erodibility of the fine-earth fraction, or the material less than 2 millimeters in size.",,,Property,,NA,,0,1,0,1,soil_erodibility_factor,0,,,1,KfactRF,,,,,,,,1,Surface Layer,NA,NA,Centimeters,0,,,Weighted Average,0,0,,0,7,NA,"<Map_Legend maplegendkey=""7""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0""><Labels value="".02"" label="".02"" order=""1"" /><Labels value="".05"" label="".05"" order=""2"" /><Labels value="".10"" label="".10"" order=""3"" /><Labels value="".15"" label="".15"" order=""4"" /><Labels value="".17"" label="".17"" order=""5"" /><Labels value="".20"" label="".20"" order=""6"" /><Labels value="".24"" label="".24"" order=""7"" /><Labels value="".28"" label="".28"" order=""8"" /><Labels value="".32"" label="".32"" order=""9"" /><Labels value="".37"" label="".37"" order=""10"" /><Labels value="".43"" label="".43"" order=""11"" /><Labels value="".49"" label="".49"" order=""12"" /><Labels value="".55"" label="".55"" order=""13"" /><Labels value="".64"" label="".64"" order=""14"" /></Legend_Elements></Map_Legend>",1,04/26/2007 06:13:05,Dominant Condition,NA,1,Choice
51,"K Factor, Whole Soil",chorizon,kwfact,Choice,254,NA,"Erosion factor K indicates the susceptibility of a soil to sheet and rill erosion by water. Factor K is one of six factors used in the Universal Soil Loss Equation (USLE) and the Revised Universal Soil Loss Equation (RUSLE) to predict the average annual rate of soil loss by sheet and rill erosion in tons per acre per year. The estimates are based primarily on percentage of silt, sand, and organic matter and on soil structure and saturated hydraulic conductivity (Ksat). Values of K range from 0.02 to 0.69. Other factors being equal, the higher the value, the more susceptible the soil is to sheet and rill erosion by water.

""Erosion factor Kw (whole soil)"" indicates the erodibility of the whole soil. The estimates are modified by the presence of rock fragments.",,,Property,,NA,,0,1,0,1,soil_erodibility_factor,0,,,1,KfactWS,,,,,,,,1,Surface Layer,NA,NA,Centimeters,0,,,Weighted Average,0,0,,0,7,NA,"<Map_Legend maplegendkey=""7""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0""><Labels value="".02"" label="".02"" order=""1"" /><Labels value="".05"" label="".05"" order=""2"" /><Labels value="".10"" label="".10"" order=""3"" /><Labels value="".15"" label="".15"" order=""4"" /><Labels value="".17"" label="".17"" order=""5"" /><Labels value="".20"" label="".20"" order=""6"" /><Labels value="".24"" label="".24"" order=""7"" /><Labels value="".28"" label="".28"" order=""8"" /><Labels value="".32"" label="".32"" order=""9"" /><Labels value="".37"" label="".37"" order=""10"" /><Labels value="".43"" label="".43"" order=""11"" /><Labels value="".49"" label="".49"" order=""12"" /><Labels value="".55"" label="".55"" order=""13"" /><Labels value="".64"" label="".64"" order=""14"" /></Legend_Elements></Map_Legend>",1,04/26/2007 06:13:35,Dominant Condition,NA,1,Choice
71,Wind Erodibility Group,component,weg,Choice,254,NA,"A wind erodibility group (WEG) consists of soils that have similar properties affecting their susceptibility to wind erosion in cultivated areas. The soils assigned to group 1 are the most susceptible to wind erosion, and those assigned to group 8 are the least susceptible.",,,Property,,NA,,0,1,0,0,,0,,,-1,WEG,,,,,,,,0,,NA,NA,,0,,,Weighted Average,0,0,,1,7,NA,"<Map_Legend maplegendkey=""7""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0""><Labels value=""1"" label=""1"" order=""1"" /><Labels value=""2"" label=""2"" order=""2"" /><Labels value=""3"" label=""3"" order=""3"" /><Labels value=""4"" label=""4"" order=""4"" /><Labels value=""4L"" label=""4L"" order=""5"" /><Labels value=""5"" label=""5"" order=""6"" /><Labels value=""6"" label=""6"" order=""7"" /><Labels value=""7"" label=""7"" order=""8"" /><Labels value=""8"" label=""8"" order=""9"" /></Legend_Elements></Map_Legend>",1,03/04/2007 09:05:09,Dominant Condition,NA,1,Choice
75,T Factor,component,tfact,Integer,NA,NA,The T factor is an estimate of the maximum average annual rate of soil erosion by wind and/or water that can occur without affecting crop productivity over a sustained period. The rate is in tons per acre per year.,tons per acre per year,tons/acre/yr,Property,,NA,,0,1,0,0,,1,,,-1,Tfactor,,,,,,,,0,,NA,NA,,0,,,Weighted Average,0,0,,1,2,NA,"<Map_Legend maplegendkey=""2""><ColorRampType type=""2"" name=""Defined"" /><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0""><Labels value=""1"" label=""1"" order=""1""><Color red=""255"" green=""0"" blue=""0"" /></Labels><Labels value=""2"" label=""2"" order=""2""><Color red=""255"" green=""127"" blue=""0"" /></Labels><Labels value=""3"" label=""3"" order=""3""><Color red=""255"" green=""255"" blue=""0"" /></Labels><Labels value=""4"" label=""4"" order=""4""><Color red=""127"" green=""255"" blue=""0"" /></Labels><Labels value=""5"" label=""5"" order=""5""><Color red=""0"" green=""255"" blue=""0"" /></Labels></Legend_Elements></Map_Legend>",1,03/04/2007 09:03:38,Dominant Condition,NA,1,Integer
61,"Saturated Hydraulic Conductivity (Ksat), Standard Classes",chorizon,ksat_r,Float,NA,4,"Saturated hydraulic conductivity (Ksat) refers to the ease with which pores in a saturated soil transmit water. The estimates are expressed in terms of micrometers per second. They are based on soil characteristics observed in the field, particularly structure, porosity, and texture. Saturated hydraulic conductivity is considered in the design of soil drainage systems and septic tank absorption fields. 

For each soil layer, this attribute is actually recorded as three separate values in the database. A low value and a high value indicate the range of this attribute for the soil component. A ""representative"" value indicates the expected value of this attribute for the component. For this soil property, only the representative value is used.

The numeric Ksat values have been grouped according to standard Ksat class limits. The classes are:

Very low: 0.00 to 0.01
Low: 0.01 to 0.1
Moderately low: 0.1 to 1.0
Moderately high: 1 to 10
High: 10 to 100
Very high: 100 to 705",micrometers per second,um/s,Property,,NA,,0,1,0,1,,1,Slowest,Fastest,1,KsatClass,,,,,,,,1,Depth Range,NA,NA,Centimeters,0,,,Weighted Average,0,0,,0,6,NA,"<Map_Legend maplegendkey=""6""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0""><Labels lower_value=""0"" upper_value=""0.01"" label=""Very Low (0.0 - 0.01)"" order=""1"" /><Labels lower_value=""0.01"" upper_value=""0.1"" label=""Low (0.01 - 0.1)"" order=""2"" /><Labels lower_value=""0.1"" upper_value=""1"" label=""Moderately Low (0.1 - 1)"" order=""3"" /><Labels lower_value=""1"" upper_value=""10"" label=""Moderately High (1 - 10)"" order=""4"" /><Labels lower_value=""10"" upper_value=""100"" label=""High (10 - 100)"" order=""5"" /><Labels lower_value=""100"" upper_value=""705"" label=""Very High (100 - 705)"" order=""6"" /></Legend_Elements></Map_Legend>",1,03/04/2007 09:00:22,Dominant Component,NA,1,Float
65,"Bulk Density, One-Third Bar",chorizon,dbthirdbar_r,Float,NA,2,"Bulk density, one-third bar, is the ovendry weight of the soil material less than 2 millimeters in size per unit volume of soil at water tension of 1/3 bar, expressed in grams per cubic centimeter. Bulk density data are used to compute linear extensibility, shrink-swell potential, available water capacity, total pore space, and other soil properties. The moist bulk density of a soil indicates the pore space available for water and roots. Depending on soil texture, a bulk density of more than 1.4 can restrict water storage and root penetration. Moist bulk density is influenced by texture, kind of clay, content of organic matter, and soil structure.

For each soil layer, this attribute is actually recorded as three separate values in the database. A low value and a high value indicate the range of this attribute for the soil component. A ""representative"" value indicates the expected value of this attribute for the component. For this soil property, only the representative value is used.",grams per cubic centimeter,g/cm3,Property,,NA,,0,1,0,1,,1,,,1,Db3rdbar,,,,,,,,1,Depth Range,NA,NA,Centimeters,0,,,Weighted Average,0,0,,0,3,5,"<Map_Legend maplegendkey=""3""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0"" classes=""5"" /></Map_Legend>",1,04/27/2007 10:09:33,Dominant Component,NA,1,Float
66,"Available Water Supply, 0 to 100 cm",muaggatt,aws0100wta,Float,NA,2,"Available water supply (AWS) is the total volume of water (in centimeters) that should be available to plants when the soil, inclusive of rock fragments, is at field capacity. It is commonly estimated as the amount of water held between field capacity and the wilting point, with corrections for salinity, rock fragments, and rooting depth. AWS is reported as a single value (in centimeters) of water for the specified depth of the soil. AWS is calculated as the available water capacity times the thickness of each soil horizon to a specified depth.

For each soil layer, available water capacity, used in the computation of AWS, is recorded as three separate values in the database. A low value and a high value indicate the range of this attribute for the soil component. A ""representative"" value indicates the expected value of this attribute for the component. For the derivation of AWS, only the representative value for available water capacity is used.

The available water supply for each map unit component is computed as described above and then aggregated to a single value for the map unit by the process described below.

A map unit typically consists of one or more ""components."" A component is either some type of soil or some nonsoil entity, e.g., rock outcrop. For the attribute being aggregated (e.g., available water supply), the first step of the aggregation process is to derive one attribute value for each of a map unit's components. From this set of component attributes, the next step of the process is to derive a single value that represents the map unit as a whole. Once a single value for each map unit is derived, a thematic map for the map units can be generated. Aggregation is needed because map units rather than components are delineated on the soil maps.

The composition of each component in a map unit is recorded as a percentage. A composition of 60 indicates that the component typically makes up approximately 60 percent of the map unit.

For the available water supply, when a weighted average of all component values is computed, percent composition is the weighting factor.",centimeters,cm,Property,,NA,,1,0,0,0,,1,,,1,AWS100,,,,,,,,0,,NA,NA,,0,,,Weighted Average,0,0,,1,3,5,"<Map_Legend maplegendkey=""3""><ColorRampType type=""1"" name=""Progressive"" count=""3""><LowerColor part=""0"" algorithm=""1"" red=""255"" green=""0"" blue=""0"" /><UpperColor part=""0"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><LowerColor part=""1"" algorithm=""1"" red=""255"" green=""255"" blue=""0"" /><UpperColor part=""1"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><LowerColor part=""2"" algorithm=""1"" red=""0"" green=""255"" blue=""255"" /><UpperColor part=""2"" algorithm=""1"" red=""0"" green=""0"" blue=""255"" /></ColorRampType><Legend_Symbols shapeType=""polygon""><Styles fillStyle=""esriSFSSolid"" /><Font type=""Times New Roman"" size=""8"" red=""0"" green=""0"" blue=""0"" /><Line type=""outline"" width=""0.4"" red=""0"" green=""0"" blue=""0"" /></Legend_Symbols><Legend_Elements transparency=""0"" classes=""5"" /></Map_Legend>",1,02/28/2007 13:32:20,No Aggregation Necessary,NA,1,Float
