monthseq,month,flodfreqcl,floddurcl,pondfreqcl,ponddurcl,ponddep.l,ponddep.r,ponddep.h,dlyavgprecip.l,dlyavgprecip.r,dlyavgprecip.h,dlyavgpotet.l,dlyavgpotet.r,dlyavgpotet.h,cokey,comonthkey
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897224,156227467
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897224,156227468
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897224,156227469
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897224,156227470
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897224,156227471
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897224,156227472
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897224,156227473
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897224,156227474
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897224,156227475
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897224,156227476
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897224,156227477
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897223,156227454
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897223,156227455
12,December,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897223,156227456
2,February,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897223,156227457
1,January,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897223,156227458
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897223,156227459
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897223,156227460
3,March,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897223,156227461
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897223,156227462
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897223,156227463
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897223,156227464
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897223,156227465
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897222,156227442
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897222,156227443
12,December,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897222,156227444
2,February,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897222,156227445
1,January,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897222,156227446
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897222,156227447
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897222,156227448
3,March,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897222,156227449
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897222,156227450
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897222,156227451
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897222,156227452
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897222,156227453
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897221,156227430
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897221,156227431
12,December,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897221,156227432
2,February,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897221,156227433
1,January,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897221,156227434
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897221,156227435
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897221,156227436
3,March,Occasional,Brief (2 to 7 days),None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897221,156227437
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897221,156227438
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897221,156227439
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897221,156227440
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897221,156227441
4,April,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897206,156227250
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897206,156227251
12,December,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897206,156227252
2,February,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897206,156227253
1,January,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897206,156227254
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897206,156227255
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897206,156227256
3,March,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897206,156227257
5,May,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897206,156227258
11,November,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897206,156227259
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897206,156227260
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897206,156227261
4,April,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897205,156227238
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897205,156227239
12,December,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897205,156227240
2,February,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897205,156227241
1,January,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897205,156227242
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897205,156227243
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897205,156227244
3,March,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897205,156227245
5,May,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897205,156227246
11,November,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897205,156227247
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897205,156227248
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897205,156227249
4,April,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897204,156227226
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897204,156227227
12,December,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897204,156227228
2,February,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897204,156227229
1,January,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897204,156227230
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897204,156227231
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897204,156227232
3,March,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897204,156227233
5,May,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897204,156227234
11,November,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897204,156227235
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897204,156227236
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897204,156227237
4,April,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897203,156227214
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897203,156227215
12,December,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897203,156227216
2,February,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897203,156227217
1,January,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897203,156227218
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897203,156227219
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897203,156227220
3,March,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897203,156227221
5,May,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897203,156227222
11,November,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897203,156227223
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897203,156227224
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897203,156227225
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897202,156227202
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897202,156227203
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897202,156227204
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897202,156227205
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897202,156227206
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897202,156227207
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897202,156227208
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897202,156227209
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897202,156227210
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897202,156227211
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897202,156227212
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897202,156227213
4,April,Occasional,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897201,156227190
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897201,156227191
12,December,Occasional,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897201,156227192
2,February,Occasional,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897201,156227193
1,January,Occasional,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897201,156227194
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897201,156227195
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897201,156227196
3,March,Occasional,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897201,156227197
5,May,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897201,156227198
11,November,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897201,156227199
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897201,156227200
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897201,156227201
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897200,156227178
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897200,156227179
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897200,156227180
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897200,156227181
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897200,156227182
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897200,156227183
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897200,156227184
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897200,156227185
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897200,156227186
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897200,156227187
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897200,156227188
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897200,156227189
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897199,156227166
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897199,156227167
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897199,156227168
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897199,156227169
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897199,156227170
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897199,156227171
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897199,156227172
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897199,156227173
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897199,156227174
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897199,156227175
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897199,156227176
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897199,156227177
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897198,156227154
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897198,156227155
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897198,156227156
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897198,156227157
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897198,156227158
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897198,156227159
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897198,156227160
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897198,156227161
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897198,156227162
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897198,156227163
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897198,156227164
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897198,156227165
4,April,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897197,156227142
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897197,156227143
12,December,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897197,156227144
2,February,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897197,156227145
1,January,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897197,156227146
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897197,156227147
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897197,156227148
3,March,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897197,156227149
5,May,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897197,156227150
11,November,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897197,156227151
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897197,156227152
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897197,156227153
4,April,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897193,156227094
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897193,156227095
12,December,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897193,156227096
2,February,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897193,156227097
1,January,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897193,156227098
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897193,156227099
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897193,156227100
3,March,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897193,156227101
5,May,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897193,156227102
11,November,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897193,156227103
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897193,156227104
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897193,156227105
4,April,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897192,156227082
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897192,156227083
12,December,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897192,156227084
2,February,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897192,156227085
1,January,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897192,156227086
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897192,156227087
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897192,156227088
3,March,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897192,156227089
5,May,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897192,156227090
11,November,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897192,156227091
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897192,156227092
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897192,156227093
4,April,Occasional,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897191,156227070
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897191,156227071
12,December,Occasional,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897191,156227072
2,February,Occasional,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897191,156227073
1,January,Occasional,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897191,156227074
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897191,156227075
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897191,156227076
3,March,Occasional,Long (7 to 30 days),Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897191,156227077
5,May,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897191,156227078
11,November,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897191,156227079
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897191,156227080
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897191,156227081
4,April,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897190,156227058
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897190,156227059
12,December,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897190,156227060
2,February,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897190,156227061
1,January,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897190,156227062
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897190,156227063
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897190,156227064
3,March,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897190,156227065
5,May,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897190,156227066
11,November,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897190,156227067
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897190,156227068
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897190,156227069
4,April,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897189,156227046
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897189,156227047
12,December,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897189,156227048
2,February,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897189,156227049
1,January,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897189,156227050
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897189,156227051
6,June,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897189,156227052
3,March,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897189,156227053
5,May,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897189,156227054
11,November,Rare,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897189,156227055
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897189,156227056
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897189,156227057
4,April,Rare,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897188,156227034
8,August,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897188,156227035
12,December,Rare,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897188,156227036
2,February,Rare,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897188,156227037
1,January,Rare,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897188,156227038
7,July,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897188,156227039
6,June,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897188,156227040
3,March,Rare,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897188,156227041
5,May,Rare,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897188,156227042
11,November,Rare,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897188,156227043
10,October,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897188,156227044
9,September,None,,None,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897188,156227045
4,April,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897187,156227022
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897187,156227023
12,December,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897187,156227024
2,February,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897187,156227025
1,January,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897187,156227026
7,July,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897187,156227027
6,June,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897187,156227028
3,March,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897187,156227029
5,May,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897187,156227030
11,November,None,,Frequent,Long (7 to 30 days),0,15,30,NA,NA,NA,NA,NA,NA,14897187,156227031
10,October,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897187,156227032
9,September,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897187,156227033
4,April,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897186,156227010
8,August,None,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,14897186,156227011
12,December,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897186,156227012
2,February,None,,Frequent,Long (7 to 30 days),0,7,15,NA,NA,NA,NA,NA,NA,14897186,156227013
